County/ bond set type,2014,2015,2016
Adams,"3,381","3,659","4,020"
Cash/Surety/Property,"3,166","3,305","3,307"
Personal Recognizance,215,354,713
Alamosa,296,346,556
Cash/Surety/Property,212,260,341
Personal Recognizance,84,86,215
Arapahoe,"2,995","3,150","3,212"
Cash/Surety/Property,"2,631","2,482","2,709"
Personal Recognizance,364,668,503
Archuleta,87,82,95
Cash/Surety/Property,46,46,49
Personal Recognizance,41,36,46
Baca,30,29,32
Cash/Surety/Property,27,18,26
Personal Recognizance,3,11,6
Bent,49,48,66
Cash/Surety/Property,35,30,53
Personal Recognizance,14,18,13
Boulder,"1,763","1,924","2,198"
Cash/Surety/Property,"1,548","1,630","1,662"
Personal Recognizance,215,294,536
Broomfield,296,292,333
Cash/Surety/Property,285,275,265
Personal Recognizance,11,17,68
Chaffee,126,158,183
Cash/Surety/Property,103,122,129
Personal Recognizance,23,36,54
Cheyenne,13,8,13
Cash/Surety/Property,10,7,11
Personal Recognizance,3,1,2
Clear Creek,83,67,86
Cash/Surety/Property,79,63,80
Personal Recognizance,4,4,6
Conejos,50,68,102
Cash/Surety/Property,36,51,75
Personal Recognizance,14,17,27
Costilla,44,46,50
Cash/Surety/Property,34,41,33
Personal Recognizance,10,5,17
Crowley,28,45,64
Cash/Surety/Property,26,25,55
Personal Recognizance,2,20,9
Custer,21,24,50
Cash/Surety/Property,17,19,39
Personal Recognizance,4,5,11
Delta,128,125,129
Cash/Surety/Property,117,112,114
Personal Recognizance,11,13,15
Denver,"5,088","5,355","6,609"
Cash/Surety/Property,"3,817","4,036","4,037"
Personal Recognizance,"1,271","1,319","2,572"
Dolores,8,11,17
Cash/Surety/Property,3,9,16
Personal Recognizance,5,2,1
Douglas,694,770,"1,029"
Cash/Surety/Property,582,573,750
Personal Recognizance,112,197,279
Eagle,259,356,300
Cash/Surety/Property,225,332,283
Personal Recognizance,34,24,17
El Paso,"5,359","5,622","6,106"
Cash/Surety/Property,"5,041","5,260","5,781"
Personal Recognizance,318,362,325
Elbert,64,82,121
Cash/Surety/Property,53,63,86
Personal Recognizance,11,19,35
Fremont,323,375,609
Cash/Surety/Property,259,282,379
Personal Recognizance,64,93,230
Garfield,371,485,524
Cash/Surety/Property,283,401,386
Personal Recognizance,88,84,138
Gilpin,94,174,151
Cash/Surety/Property,78,149,124
Personal Recognizance,16,25,27
Grand,70,49,62
Cash/Surety/Property,63,41,48
Personal Recognizance,7,8,14
Gunnison,92,87,115
Cash/Surety/Property,85,72,102
Personal Recognizance,7,15,13
Hinsdale,3,3,4
Cash/Surety/Property,2,3,2
Personal Recognizance,1,,2
Huerfano,114,89,137
Cash/Surety/Property,78,69,96
Personal Recognizance,36,20,41
Jackson,6,5,10
Cash/Surety/Property,4,1,8
Personal Recognizance,2,4,2
Jefferson,"3,056","3,472","3,943"
Cash/Surety/Property,"2,619","3,032","3,404"
Personal Recognizance,437,440,539
Kiowa,10,10,4
Cash/Surety/Property,8,9,4
Personal Recognizance,2,1,
Kit Carson,55,68,88
Cash/Surety/Property,49,54,61
Personal Recognizance,6,14,27
La Plata,473,491,502
Cash/Surety/Property,249,281,324
Personal Recognizance,224,210,178
Lake,85,46,82
Cash/Surety/Property,77,40,68
Personal Recognizance,8,6,14
Larimer,"1,781","2,155","2,775"
Cash/Surety/Property,"1,309","1,647","2,130"
Personal Recognizance,472,508,645
Las Animas,167,199,155
Cash/Surety/Property,105,137,112
Personal Recognizance,62,62,43
Lincoln,66,80,87
Cash/Surety/Property,63,80,84
Personal Recognizance,3,,3
Logan,226,234,276
Cash/Surety/Property,153,169,194
Personal Recognizance,73,65,82
Mesa,"1,506","1,572","1,991"
Cash/Surety/Property,785,755,957
Personal Recognizance,721,817,"1,034"
Mineral,2,4,1
Cash/Surety/Property,2,1,1
Personal Recognizance,,3,
Moffat,161,231,253
Cash/Surety/Property,134,164,160
Personal Recognizance,27,67,93
Montezuma,203,244,278
Cash/Surety/Property,136,184,217
Personal Recognizance,67,60,61
Montrose,303,297,301
Cash/Surety/Property,282,276,267
Personal Recognizance,21,21,34
Morgan,235,250,297
Cash/Surety/Property,182,169,207
Personal Recognizance,53,81,90
Otero,204,224,218
Cash/Surety/Property,139,171,153
Personal Recognizance,65,53,65
Ouray,16,17,24
Cash/Surety/Property,14,15,22
Personal Recognizance,2,2,2
Park,66,78,67
Cash/Surety/Property,53,61,56
Personal Recognizance,13,17,11
Phillips,12,20,22
Cash/Surety/Property,12,18,15
Personal Recognizance,,2,7
Pitkin,42,75,75
Cash/Surety/Property,38,62,53
Personal Recognizance,4,13,22
Prowers,155,205,231
Cash/Surety/Property,108,157,179
Personal Recognizance,47,48,52
Pueblo,"1,845","2,175","2,264"
Cash/Surety/Property,"1,364","1,388","1,607"
Personal Recognizance,481,787,657
Rio Blanco,52,43,68
Cash/Surety/Property,47,33,55
Personal Recognizance,5,10,13
Rio Grande,161,136,165
Cash/Surety/Property,100,73,115
Personal Recognizance,61,63,50
Routt,101,160,100
Cash/Surety/Property,72,95,58
Personal Recognizance,29,65,42
Saguache,41,38,62
Cash/Surety/Property,18,19,48
Personal Recognizance,23,19,14
San Juan,4,,13
Cash/Surety/Property,3,,8
Personal Recognizance,1,,5
San Miguel,35,54,58
Cash/Surety/Property,28,48,46
Personal Recognizance,7,6,12
Sedgwick,10,20,30
Cash/Surety/Property,8,13,21
Personal Recognizance,2,7,9
Summit,222,249,283
Cash/Surety/Property,209,230,264
Personal Recognizance,13,19,19
Teller,183,188,232
Cash/Surety/Property,169,167,205
Personal Recognizance,14,21,27
Washington,15,14,33
Cash/Surety/Property,11,8,21
Personal Recognizance,4,6,12
Weld,"2,116","2,187","2,534"
Cash/Surety/Property,"1,648","1,591","1,887"
Personal Recognizance,468,596,647
Yuma,35,53,61
Cash/Surety/Property,32,43,47
Personal Recognizance,3,10,14
Total,"35,579","38,823","44,556"
