District/ bond set type,2014,2015,2016
1,"6,138","6,515","6,911"
Cash/Surety/Property,"5,253","5,429","5,688"
Personal Recognizance,885,"1,086","1,223"
3,"1,082","1,044","1,106"
Cash/Surety/Property,934,932,"1,005"
Personal Recognizance,148,112,101
4,"9,403","9,770","9,715"
Cash/Surety/Property,"8,271","8,580","8,522"
Personal Recognizance,"1,132","1,190","1,193"
5,"2,620","2,908","2,758"
Cash/Surety/Property,"2,133","2,423","2,316"
Personal Recognizance,487,485,442
6,"1,559","1,720","1,806"
Cash/Surety/Property,976,"1,081","1,213"
Personal Recognizance,583,639,593
7,"1,999","1,996","2,171"
Cash/Surety/Property,"1,686","1,699","1,841"
Personal Recognizance,313,297,330
8,"5,800","6,079","6,061"
Cash/Surety/Property,"2,076","2,292","2,321"
Personal Recognizance,"3,724","3,787","3,740"
9,"1,758","1,774","1,802"
Cash/Surety/Property,"1,414","1,419","1,411"
Personal Recognizance,344,355,391
10,"3,348","3,409","3,482"
Cash/Surety/Property,"2,513","2,077","1,906"
Personal Recognizance,835,"1,332","1,576"
11,"1,599","1,776","1,904"
Cash/Surety/Property,"1,223","1,289",992
Personal Recognizance,376,487,912
12,"1,235","1,257","1,253"
Cash/Surety/Property,925,940,884
Personal Recognizance,310,317,369
13,"1,957","2,095","2,056"
Cash/Surety/Property,"1,494","1,480","1,458"
Personal Recognizance,463,615,598
14,"1,216","1,214","1,241"
Cash/Surety/Property,934,862,813
Personal Recognizance,282,352,428
15,947,948,906
Cash/Surety/Property,860,877,854
Personal Recognizance,87,71,52
16,947,844,745
Cash/Surety/Property,717,536,360
Personal Recognizance,230,308,385
17,"9,477","9,484","9,088"
Cash/Surety/Property,"9,235","9,100","7,615"
Personal Recognizance,242,384,"1,473"
18,"10,960","11,564","11,601"
Cash/Surety/Property,"7,099","6,612","8,104"
Personal Recognizance,"3,861","4,952","3,497"
19,"4,672","5,356","5,424"
Cash/Surety/Property,"3,329","3,200","2,677"
Personal Recognizance,"1,343","2,156","2,747"
20,"2,989","2,983","3,135"
Cash/Surety/Property,"2,444","2,346","2,275"
Personal Recognizance,545,637,860
21,"2,820","3,003","2,991"
Cash/Surety/Property,"1,508","1,686","1,589"
Personal Recognizance,"1,312","1,317","1,402"
22,907,857,894
Cash/Surety/Property,431,439,436
Personal Recognizance,476,418,458
Total,"73,433","76,596","77,050"
