County/ bond set type,2014,2015,2016
Adams,"8,178","8,326","8,000"
Cash/Surety/Property,"8,022","8,018","6,789"
Personal Recognizance,156,308,"1,211"
Alamosa,429,489,512
Cash/Surety/Property,317,367,328
Personal Recognizance,112,122,184
Arapahoe,"7,556","7,593","7,086"
Cash/Surety/Property,"4,405","3,703","4,693"
Personal Recognizance,"3,151","3,890","2,393"
Archuleta,330,253,320
Cash/Surety/Property,212,156,194
Personal Recognizance,118,97,126
Baca,113,113,112
Cash/Surety/Property,103,106,105
Personal Recognizance,10,7,7
Bent,237,161,181
Cash/Surety/Property,184,109,116
Personal Recognizance,53,52,65
Boulder,"2,989","2,983","3,135"
Cash/Surety/Property,"2,444","2,346","2,275"
Personal Recognizance,545,637,860
Broomfield,"1,299","1,158","1,088"
Cash/Surety/Property,"1,213","1,082",826
Personal Recognizance,86,76,262
Chaffee,402,443,455
Cash/Surety/Property,299,290,271
Personal Recognizance,103,153,184
Cheyenne,47,45,79
Cash/Surety/Property,41,44,71
Personal Recognizance,6,1,8
Clear Creek,493,523,515
Cash/Surety/Property,360,382,393
Personal Recognizance,133,141,122
Conejos,167,159,157
Cash/Surety/Property,132,112,115
Personal Recognizance,35,47,42
Costilla,149,141,139
Cash/Surety/Property,121,120,115
Personal Recognizance,28,21,24
Crowley,74,79,49
Cash/Surety/Property,54,51,34
Personal Recognizance,20,28,15
Custer,62,95,76
Cash/Surety/Property,48,71,47
Personal Recognizance,14,24,29
Delta,494,530,622
Cash/Surety/Property,428,460,557
Personal Recognizance,66,70,65
Dolores,39,41,39
Cash/Surety/Property,29,26,15
Personal Recognizance,10,15,24
Douglas,"2,855","3,290","3,789"
Cash/Surety/Property,"2,230","2,315","2,810"
Personal Recognizance,625,975,979
Eagle,987,"1,027","1,049"
Cash/Surety/Property,759,861,891
Personal Recognizance,228,166,158
El Paso,"8,735","9,145","9,135"
Cash/Surety/Property,"7,742","8,076","8,061"
Personal Recognizance,993,"1,069","1,074"
Elbert,303,322,329
Cash/Surety/Property,226,240,212
Personal Recognizance,77,82,117
Fremont,756,862,"1,017"
Cash/Surety/Property,563,636,423
Personal Recognizance,193,226,594
Garfield,"1,328","1,392","1,439"
Cash/Surety/Property,"1,057","1,104","1,113"
Personal Recognizance,271,288,326
Gilpin,494,631,510
Cash/Surety/Property,422,509,384
Personal Recognizance,72,122,126
Grand,324,305,353
Cash/Surety/Property,303,240,258
Personal Recognizance,21,65,95
Gunnison,366,411,406
Cash/Surety/Property,326,363,363
Personal Recognizance,40,48,43
Hinsdale,10,11,9
Cash/Surety/Property,10,6,6
Personal Recognizance,,5,3
Huerfano,253,260,260
Cash/Surety/Property,228,234,224
Personal Recognizance,25,26,36
Jackson,29,21,18
Cash/Surety/Property,17,14,15
Personal Recognizance,12,7,3
Jefferson,"5,644","5,884","6,401"
Cash/Surety/Property,"4,831","4,920","5,304"
Personal Recognizance,813,964,"1,097"
