,2014,,2015,,2016,
District by Bond Post Type,%,N,%,N,%,N
by New Filing,,,,,,
1,9%,"1,944",9%,"2,204",8%,"2,406"
Cash/Surety/Property,76%,"1,480",78%,"1,723",75%,"1,815"
No,83%,"1,235",84%,"1,439",87%,"1,575"
Yes,17%,245,16%,284,13%,240
Personal Recognizance,24%,464,22%,481,25%,591
No,89%,414,90%,433,88%,518
Yes,11%,50,10%,48,12%,73
2,14%,"3,249",14%,"3,515",16%,"4,521"
Cash/Surety/Property,60%,"1,936",59%,"2,069",42%,"1,902"
No,84%,"1,632",85%,"1,751",85%,"1,621"
Yes,16%,304,15%,318,15%,281
Personal Recognizance,40%,"1,313",41%,"1,446",58%,"2,619"
No,90%,"1,186",89%,"1,291",87%,"2,286"
Yes,10%,127,11%,155,13%,333
3,1%,218,1%,207,1%,215
Cash/Surety/Property,55%,119,59%,122,60%,129
No,75%,89,77%,94,78%,101
Yes,25%,30,23%,28,22%,28
Personal Recognizance,45%,99,41%,85,40%,86
No,80%,79,72%,61,67%,58
Yes,20%,20,28%,24,33%,28
4,15%,"3,319",13%,"3,278",12%,"3,534"
Cash/Surety/Property,89%,"2,944",88%,"2,901",90%,"3,177"
No,79%,"2,315",82%,"2,373",84%,"2,659"
Yes,21%,629,18%,528,16%,518
Personal Recognizance,11%,375,12%,377,10%,357
No,89%,334,91%,342,91%,325
Yes,11%,41,9%,35,9%,32
5,2%,499,2%,549,2%,553
Cash/Surety/Property,88%,438,90%,493,90%,497
No,88%,385,86%,426,89%,441
Yes,12%,53,14%,67,11%,56
Personal Recognizance,12%,61,10%,56,10%,56
No,89%,54,86%,48,80%,45
Yes,11%,7,14%,8,20%,11
6,2%,400,2%,440,2%,468
Cash/Surety/Property,43%,173,47%,205,54%,255
No,65%,113,79%,161,82%,209
Yes,35%,60,21%,44,18%,46
Personal Recognizance,57%,227,53%,235,46%,213
No,74%,168,76%,178,79%,169
Yes,26%,59,24%,57,21%,44
7,2%,427,2%,450,2%,523
Cash/Surety/Property,78%,333,75%,339,74%,387
No,71%,237,71%,241,66%,257
Yes,29%,96,29%,98,34%,130
Personal Recognizance,22%,94,25%,111,26%,136
No,78%,73,77%,86,83%,113
Yes,22%,21,23%,25,17%,23
8,5%,"1,208",6%,"1,410",6%,"1,756"
Cash/Surety/Property,64%,768,67%,942,67%,"1,168"
No,80%,612,78%,736,78%,910
Yes,20%,156,22%,206,22%,258
Personal Recognizance,36%,440,33%,468,33%,588
No,88%,389,88%,413,89%,524
Yes,12%,51,12%,55,11%,64
9,2%,378,2%,459,2%,528
Cash/Surety/Property,69%,259,72%,329,65%,344
No,73%,188,72%,238,73%,252
Yes,27%,71,28%,91,27%,92
Personal Recognizance,31%,119,28%,130,35%,184
No,72%,86,72%,93,85%,157
Yes,28%,33,28%,37,15%,27
10,5%,"1,069",6%,"1,427",4%,"1,295"
Cash/Surety/Property,55%,588,45%,637,50%,644
No,77%,453,79%,502,84%,541
Yes,23%,135,21%,135,16%,103
