county_or_jail,hold_for_other_agency,immigration,parole_hold,other_or_unknown,notes
Adams,34,0,12,128,
Alamosa ,9,NA,1,10,Other 10 holds are probation holds the require meeting with pretrial services and judge to determine next steps for inmate.
Arapahoe,NA,NA,NA,NA,
Aurora Detention Center,0,0,0,0,
Archuleta,1,0,0,0,"The hold was for a ""fugitive of justice"" warrant out of Lincoln County, NM."
Baca,1,0,0,0,
Bent,0,0,4,0,
Boulder,8,NA,NA,NA,
Broomfield,NA,NA,NA,9,"1 inmate is categorized for a ""Day Writ"""
Chaffee,19,NA,NA,NA,
Cheyenne,NA,NA,NA,NA,
Clear Creek,NA,NA,NA,NA,
Conejos,14,0,2,NA,hold_for_other_agency: ACDC Hold is referring to Alamosa County Detention Center or Alamosa hold; they are the same. Some staff here put them in our system as ACDC and some put them as Alamosa hold.
Costilla,0,0,0,0,
Crowley,1,0,0,0,
Custer,3,0,0,0,
Delta,5,0,8,0,
Denver City Jail (DJC),523,11,137,1903,
Denver County Jail (COJL),308,1,117,973,
Dolores,NA,NA,NA,NA,
Douglas,100,0,10,0,
Eagle,2,0,0,0,
Elbert,NA,NA,NA,NA,
El Paso,NA,NA,NA,NA,
Fremont,NA,NA,NA,NA,
Garfield,NA,NA,NA,NA,
Gilpin,0,0,5,0,
Grand,NA,NA,NA,NA,
Gunnison,1,0,1,0,
Hinsdale,0,0,0,0,
Huerfano,NA,NA,NA,NA,
Jackson,0,0,0,0,
Jefferson,86,NA,7,0,
Kiowa,0,0,0,0,
Kit Carson,0,0,2,1,other_or_unknown: Mental Health Hold
Lake,0,0,3,0,parole_hold: 2 Colorado DOC Parole Holds and 1 Utah DOC Parole Hold with signed extradition waiver
La Plata,NA,NA,13,21,
Larimer,14,0,8,0,
Las Animas,NA,NA,NA,NA,
Lincoln,NA,NA,NA,NA,
Logan,NA,NA,NA,NA,
Mesa,8,0,9,0,
Mineral,0,0,0,0,
Moffat,4,0,2,0,
Montezuma,NA,NA,NA,NA,
Montrose,NA,NA,NA,NA,
Morgan,4,0,0,7,
Otero,NA,NA,NA,NA,
Ouray,NA,NA,NA,NA,
Park,96,0,1,0,
Phillips,NA,NA,NA,NA,
Pitkin,NA,NA,NA,NA,
Prowers,NA,NA,NA,NA,
Pueblo,54.13,NA,10.3,NA,"Data could not be gathered at a 6:00 AM snapshot. The # In Custody is from an unknown point in time. The remaining columns are an averaged figure compiled over the entire day of 11/27/17. ""No Code Entered"" judicial status value of 8 is not included in spreadsheet totals (see AVG DAILY POP pdf). Pretrial and sentenced includes traffic violations."
Rio Blanco,4,0,1,0,
Rio Grande,NA,NA,NA,NA,
Routt,NA,NA,NA,NA,
Saguache,2,0,0,0,
San Juan,0,0,0,0,
San Miguel,0,0,0,0,
Sedgwick,1,0,0,0,
Summit,NA,NA,NA,NA,
Teller,6,38,0,10,
Washington,NA,NA,NA,NA,
Weld,74,NA,NA,NA,
Yuma,NA,NA,NA,NA,
