yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197008001,1970,8001,CO,Adams County,187385,113058,56877,56181,,921,,,1621,110516,suburban,West,Mountain,5,19740,1167.272,0,,,,70,0,70,,,,,,44,0,44,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197108001,1971,8001,CO,Adams County,193790,118936,59755,59181,,1149,,,1865,115922,suburban,West,Mountain,5,19740,1167.272,0,,,,68.25,0,68,,,,,,41.625,0,39,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197208001,1972,8001,CO,Adams County,203923,127716,64092,63624,,1428,,,2136,124152,suburban,West,Mountain,5,19740,1167.272,0,,,,66.5,0,66,,,,,,39.25,0,34,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197308001,1973,8001,CO,Adams County,211821,135212,67853,67359,,1712,,,2380,131120,suburban,West,Mountain,5,19740,1167.272,0,,,,64.75,0,64,,,,,,36.875,0,29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197408001,1974,8001,CO,Adams County,214691,139353,69876,69477,,1984,,,2561,134808,suburban,West,Mountain,5,19740,1167.272,0,,,,63,0,62,,,,,,34.5,0,24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197508001,1975,8001,CO,Adams County,218817,144173,72273,71900,,2289,,,2741,139143,suburban,West,Mountain,5,19740,1167.272,0,,,,61.25,0,60,,,,,,32.125,0,19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197608001,1976,8001,CO,Adams County,224437,149888,75297,74591,,2604,,,2906,144378,suburban,West,Mountain,5,19740,1167.272,0,,,,59.5,0,58,,,,,,29.75,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
197708001,1977,8001,CO,Adams County,227869,153172,77395,75777,,2813,,,2965,147394,suburban,West,Mountain,5,19740,1167.272,0,,,,57.75,0,56,,,,,,27.375,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,221551,18519,1124,17395,8,75,304,737,4653,11481,1261,0
197808001,1978,8001,CO,Adams County,239597,162582,82204,80378,,3248,,,3195,156139,suburban,West,Mountain,5,19740,1167.272,5318.571,,,,56,4,54,,,,,,25,3,4,3,0,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,223968,17420,1217,16203,14,94,322,787,4290,10821,1092,0
197908001,1979,8001,CO,Adams County,245961,168150,85027,83123,,3640,,,3340,161170,suburban,West,Mountain,5,19740,1167.272,5283.257,,,,73,4.6,70,,,,,,36.8,3.714286,14.85714,6.4,0,28.125,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,,,,,,,,,,,,
198008001,1980,8001,CO,Adams County,247223,169983,85595,84388,,4198,,,3681,162104,suburban,West,Mountain,5,19740,1167.272,5247.943,,,,90,5.2,86,,,,,,48.6,4.428571,25.71428,9.8,0,38.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,131627,12018,814,11204,5,55,223,531,3000,7565,611,28
198108001,1981,8001,CO,Adams County,251347,172881,86873,86008,,4405,,,3969,164507,suburban,West,Mountain,5,19740,1167.272,5212.628,,,,107,5.8,102,,,,,,60.4,5.142857,36.57143,13.2,0,48.375,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,251980,20462,1479,18983,21,105,364,989,5323,12386,1128,146
198208001,1982,8001,CO,Adams County,258861,178075,89533,88542,,4670,,,4318,169087,suburban,West,Mountain,5,19740,1167.272,5177.314,,,,124,6.4,118,,,,,,72.2,5.857143,47.42857,16.6,0,58.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,205,226,258953,19588,1264,18324,20,90,305,849,4572,12550,1104,98
198308001,1983,8001,CO,Adams County,262150,179898,90440,89458,,4840,,,4561,170497,suburban,West,Mountain,5,19740,1167.272,5142,,,,141,7,134,,,,,,84,6.571429,58.28571,20,0,68.625,0,0,0,,,,,,,,,,,,,160,15,145,0,32,34,,4,90,1,0,205,226,266943,18180,1280,16900,15,107,281,877,3770,12087,949,94
198408001,1984,8001,CO,Adams County,264810,181687,91320,90367,,5014,,,4833,171840,suburban,West,Mountain,5,19740,1167.272,6607.5,,,,157,8.5,148.5,,,,,,86,7.285714,69.14286,22.5,0,78.75,0,0,0,,,,232,14,218,,36,62,,6,128,159.5,12.5,147,0,31,38,,3.5,87,1,0,205,226,225240,16534,1298,15236,11,88,279,920,3405,10676,1024,131
198508001,1985,8001,CO,Adams County,266974,183101,91837,91264,,5167,,,5109,172825,suburban,West,Mountain,5,19740,1167.272,8073,,,,173,10,163,,,,,,88,8,80,25,0,88.875,0,0,0,,,,221,10,211,,43,63,,3,112,159,10,149,0,30,42,,3,84,1,0,205,226,276147,22005,1402,20603,13,112,309,968,5174,13620,1641,168
198608001,1986,8001,CO,Adams County,267683,183289,91819,91470,,5294,,,5358,172637,suburban,West,Mountain,5,19740,1167.272,6535,,,,432,44,394,,,,,,214,29,185,38,0,99,0,0,0,,,,259,16,243,0,51,73,,2,133,232,11,221,0,44,55,,1,132,1,0,205,226,279135,21165,1470,19695,17,108,358,987,5157,12665,1690,183
