fips,stateFIPS,CountyFIPS,Abbreviation,year,medianHI,medianHI_MOE,povertyR
5035,5,35,"AR",1989,18787,2214,28.6
5037,5,37,"AR",1989,19075,2277,22.9
5039,5,39,"AR",1989,18898,2259,18.5
5041,5,41,"AR",1989,16801,2365,30.2
5043,5,43,"AR",1989,19481,2251,18.4
5045,5,45,"AR",1989,23952,2187,11.0
5047,5,47,"AR",1989,19594,2191,16.0
5049,5,49,"AR",1989,15066,2256,24.6
5051,5,51,"AR",1989,19689,2137,16.1
5053,5,53,"AR",1989,25298,2259,11.2
5055,5,55,"AR",1989,20330,2258,15.8
5057,5,57,"AR",1989,17728,2182,21.0
5059,5,59,"AR",1989,19678,2273,17.5
5061,5,61,"AR",1989,18915,2269,15.2
5063,5,63,"AR",1989,20862,2255,14.9
5065,5,65,"AR",1989,15934,2284,19.3
5067,5,67,"AR",1989,17763,2290,23.9
5069,5,69,"AR",1989,20779,2128,24.2
5071,5,71,"AR",1989,17943,2193,16.7
5073,5,73,"AR",1989,15513,2416,31.1
5075,5,75,"AR",1989,16719,2356,22.2
5077,5,77,"AR",1989,13156,2407,50.5
5079,5,79,"AR",1989,17946,2306,34.6
5081,5,81,"AR",1989,20901,2178,17.6
5083,5,83,"AR",1989,18093,2272,18.0
5085,5,85,"AR",1989,24291,2243,13.3
5087,5,87,"AR",1989,17467,2288,17.6
5089,5,89,"AR",1989,16318,2274,18.2
5091,5,91,"AR",1989,20942,2261,19.7
5093,5,93,"AR",1989,18665,2321,25.1
5095,5,95,"AR",1989,14847,2365,34.7
5097,5,97,"AR",1989,15701,2368,25.3
5099,5,99,"AR",1989,17553,2226,19.9
5101,5,101,"AR",1989,14500,2273,27.2
5103,5,103,"AR",1989,20779,2219,18.0
5105,5,105,"AR",1989,18913,2275,16.2
5107,5,107,"AR",1989,13638,2369,46.5
5109,5,109,"AR",1989,17832,2265,17.5
5111,5,111,"AR",1989,17666,2174,23.6
5113,5,113,"AR",1989,15884,2289,21.3
5115,5,115,"AR",1989,22707,2089,14.8
5117,5,117,"AR",1989,18802,2509,18.8
5119,5,119,"AR",1989,26239,1913,14.5
5121,5,121,"AR",1989,17681,2287,18.7
5123,5,123,"AR",1989,15030,2264,37.3
5125,5,125,"AR",1989,28232,2170,8.5
5127,5,127,"AR",1989,16626,2311,20.6
5129,5,129,"AR",1989,12232,2302,28.0
5131,5,131,"AR",1989,24055,2123,12.0
5133,5,133,"AR",1989,18894,2216,17.2
5135,5,135,"AR",1989,15287,2253,20.4
5137,5,137,"AR",1989,13189,2389,25.9
5139,5,139,"AR",1989,21262,2254,17.8
5141,5,141,"AR",1989,16998,2305,21.4
5143,5,143,"AR",1989,23588,2132,12.3
5145,5,145,"AR",1989,19826,2259,17.1
5147,5,147,"AR",1989,15171,2379,32.6
5149,5,149,"AR",1989,18151,2266,16.1
5001,5,1,"AR",1989,20242,2296,18.0
5003,5,3,"AR",1989,21764,2284,19.8
5005,5,5,"AR",1989,18428,2286,12.1
5007,5,7,"AR",1989,24715,2115,8.9
5009,5,9,"AR",1989,20128,2186,14.3
5011,5,11,"AR",1989,17672,2278,22.4
5013,5,13,"AR",1989,19056,2306,18.2
5015,5,15,"AR",1989,18128,2226,14.3
5017,5,17,"AR",1989,13229,2418,41.8
5019,5,19,"AR",1989,19094,2276,19.7
5021,5,21,"AR",1989,16719,2313,19.7
5023,5,23,"AR",1989,18615,2271,15.3
5025,5,25,"AR",1989,20244,2261,16.0
5027,5,27,"AR",1989,19854,2197,22.1
5029,5,29,"AR",1989,19695,2262,18.4
5031,5,31,"AR",1989,22682,2198,14.7
5033,5,33,"AR",1989,21300,2200,14.9
6001,6,1,"CA",1989,34732,1847,10.6
6003,6,3,"CA",1989,25097,2290,15.4
6005,6,5,"CA",1989,27592,2314,7.9
6007,6,7,"CA",1989,22122,2099,16.4
6009,6,9,"CA",1989,27056,2286,9.4
6011,6,11,"CA",1989,23690,2275,13.9
6013,6,13,"CA",1989,41955,2021,6.9
6015,6,15,"CA",1989,21898,2336,17.0
6017,6,17,"CA",1989,32954,2222,7.1
6019,6,19,"CA",1989,25075,1959,21.4
6021,6,21,"CA",1989,21847,2284,15.4
6023,6,23,"CA",1989,23408,2252,15.6
6025,6,25,"CA",1989,18558,2332,23.8
6027,6,27,"CA",1989,25519,2264,9.9
6029,6,29,"CA",1989,26614,2048,15.6
6031,6,31,"CA",1989,23883,2287,18.5
6033,6,33,"CA",1989,20145,2141,15.1
6035,6,35,"CA",1989,26252,2149,12.9
6037,6,37,"CA",1989,31123,893,16.7
6039,6,39,"CA",1989,23150,2288,16.8
6041,6,41,"CA",1989,47104,2218,5.5
6043,6,43,"CA",1989,22238,2252,11.6
6045,6,45,"CA",1989,24307,2249,13.9
6047,6,47,"CA",1989,25032,2055,19.2
6049,6,49,"CA",1989,21788,2313,16.4
6051,6,51,"CA",1989,29104,2345,7.6
6053,6,53,"CA",1989,29417,2105,12.3
6055,6,55,"CA",1989,34186,2188,7.8
6057,6,57,"CA",1989,29021,2267,7.6
6059,6,59,"CA",1989,39592,1626,8.2
6061,6,61,"CA",1989,35182,2213,6.8
6063,6,63,"CA",1989,25551,2281,9.7
6065,6,65,"CA",1989,30192,1921,10.8
6067,6,67,"CA",1989,30024,1875,11.6
6069,6,69,"CA",1989,30569,2246,11.3
6071,6,71,"CA",1989,30550,1821,11.6
6073,6,73,"CA",1989,31627,1601,11.1
6075,6,75,"CA",1989,30166,1937,13.0
6077,6,77,"CA",1989,28001,2045,16.0
6079,6,79,"CA",1989,27756,2257,10.2
6081,6,81,"CA",1989,43417,2032,4.9
6083,6,83,"CA",1989,32500,2095,10.3
6085,6,85,"CA",1989,44316,1815,7.4
6087,6,87,"CA",1989,30892,2121,11.1
6089,6,89,"CA",1989,24335,2261,13.5
6091,6,91,"CA",1989,25954,2310,8.9
6093,6,93,"CA",1989,22077,2276,14.4
6095,6,95,"CA",1989,35576,2164,7.6
6097,6,97,"CA",1989,32477,2080,8.1
6099,6,99,"CA",1989,27207,2059,13.7
6101,6,101,"CA",1989,25920,2172,13.1
6103,6,103,"CA",1989,21236,2288,15.0
6105,6,105,"CA",1989,22865,2268,13.3
6107,6,107,"CA",1989,21571,2049,24.2
6109,6,109,"CA",1989,25463,2286,10.6
6111,6,111,"CA",1989,39555,2022,8.5
6113,6,113,"CA",1989,27781,2198,13.1
6115,6,115,"CA",1989,20122,2193,19.7
8001,8,1,"CO",1989,29351,2096,11.3
8003,8,3,"CO",1989,20658,2272,25.4
8005,8,5,"CO",1989,38768,2012,5.6
8007,8,7,"CO",1989,19839,2386,18.8
8009,8,9,"CO",1989,19605,2957,20.5
8011,8,11,"CO",1989,20995,2261,20.9
8013,8,13,"CO",1989,34200,2108,8.9
8015,8,15,"CO",1989,21482,2276,13.5
8017,8,17,"CO",1989,25969,3244,12.3
8019,8,19,"CO",1989,29498,2388,9.4
8021,8,21,"CO",1989,14560,2299,36.2
8023,8,23,"CO",1989,11376,2421,39.7
8025,8,25,"CO",1989,17246,2272,33.0
8027,8,27,"CO",1989,20803,2284,17.1
8029,8,29,"CO",1989,18217,2187,19.8
8031,8,31,"CO",1989,24845,1923,18.8
8033,8,33,"CO",1989,21290,2248,16.4
8035,8,35,"CO",1989,51202,2509,2.5
8037,8,37,"CO",1989,33000,2541,5.1
8039,8,39,"CO",1989,34785,2291,6.6
8041,8,41,"CO",1989,28225,2020,11.4
8043,8,43,"CO",1989,20375,2262,18.4
8045,8,45,"CO",1989,28277,2261,8.3
8047,8,47,"CO",1989,33126,2350,8.0
8049,8,49,"CO",1989,27424,2340,6.8
8051,8,51,"CO",1989,23661,2360,15.1
8053,8,53,"CO",1989,23826,2431,8.4
8055,8,55,"CO",1989,15666,2296,28.4
8057,8,57,"CO",1989,24168,2264,18.4
8059,8,59,"CO",1989,37713,2065,5.2
8061,8,61,"CO",1989,30465,3130,10.1
8063,8,63,"CO",1989,27016,2558,14.3
8065,8,65,"CO",1989,23208,2531,7.6
8067,8,67,"CO",1989,24765,2267,13.5
8069,8,69,"CO",1989,30245,2078,10.2
8071,8,71,"CO",1989,17148,2313,27.5
8073,8,73,"CO",1989,22360,2296,15.3
8075,8,75,"CO",1989,24798,2246,13.3
8077,8,77,"CO",1989,23726,2105,14.1
8079,8,79,"CO",1989,19748,2406,13.4
