"","fips","stateFIPS","CountyFIPS","Abbreviation","year","medianHI","medianHI_MOE","povertyR"
"1",8001,8,1,"CO",1989,29351,2096,11.3
"2",8003,8,3,"CO",1989,20658,2272,25.4
"3",8005,8,5,"CO",1989,38768,2012,5.6
"4",8007,8,7,"CO",1989,19839,2386,18.8
"5",8009,8,9,"CO",1989,19605,2957,20.5
"6",8011,8,11,"CO",1989,20995,2261,20.9
"7",8013,8,13,"CO",1989,34200,2108,8.9
"8",8015,8,15,"CO",1989,21482,2276,13.5
"9",8017,8,17,"CO",1989,25969,3244,12.3
"10",8019,8,19,"CO",1989,29498,2388,9.4
"11",8021,8,21,"CO",1989,14560,2299,36.2
"12",8023,8,23,"CO",1989,11376,2421,39.7
"13",8025,8,25,"CO",1989,17246,2272,33
"14",8027,8,27,"CO",1989,20803,2284,17.1
"15",8029,8,29,"CO",1989,18217,2187,19.8
"16",8031,8,31,"CO",1989,24845,1923,18.8
"17",8033,8,33,"CO",1989,21290,2248,16.4
"18",8035,8,35,"CO",1989,51202,2509,2.5
"19",8037,8,37,"CO",1989,33000,2541,5.1
"20",8039,8,39,"CO",1989,34785,2291,6.6
"21",8041,8,41,"CO",1989,28225,2020,11.4
"22",8043,8,43,"CO",1989,20375,2262,18.4
"23",8045,8,45,"CO",1989,28277,2261,8.3
"24",8047,8,47,"CO",1989,33126,2350,8
"25",8049,8,49,"CO",1989,27424,2340,6.8
"26",8051,8,51,"CO",1989,23661,2360,15.1
"27",8053,8,53,"CO",1989,23826,2431,8.4
"28",8055,8,55,"CO",1989,15666,2296,28.4
"29",8057,8,57,"CO",1989,24168,2264,18.4
"30",8059,8,59,"CO",1989,37713,2065,5.2
"31",8061,8,61,"CO",1989,30465,3130,10.1
"32",8063,8,63,"CO",1989,27016,2558,14.3
"33",8065,8,65,"CO",1989,23208,2531,7.6
"34",8067,8,67,"CO",1989,24765,2267,13.5
"35",8069,8,69,"CO",1989,30245,2078,10.2
"36",8071,8,71,"CO",1989,17148,2313,27.5
"37",8073,8,73,"CO",1989,22360,2296,15.3
"38",8075,8,75,"CO",1989,24798,2246,13.3
"39",8077,8,77,"CO",1989,23726,2105,14.1
"40",8079,8,79,"CO",1989,19748,2406,13.4
"41",8081,8,81,"CO",1989,34116,2294,8.1
"42",8083,8,83,"CO",1989,21359,2262,18.9
"43",8085,8,85,"CO",1989,23496,2122,13.6
"44",8087,8,87,"CO",1989,24728,2271,16.6
"45",8089,8,89,"CO",1989,18751,2273,26.8
"46",8091,8,91,"CO",1989,25252,2265,8.6
"47",8093,8,93,"CO",1989,32912,2287,7
"48",8095,8,95,"CO",1989,25066,2329,10.9
"49",8097,8,97,"CO",1989,34160,2656,3.9
"50",8099,8,99,"CO",1989,22047,2271,21.3
"51",8101,8,101,"CO",1989,20906,2096,20.3
"52",8103,8,103,"CO",1989,27051,2604,6.9
"53",8105,8,105,"CO",1989,22032,2374,22.4
"54",8107,8,107,"CO",1989,29187,2448,7
"55",8109,8,109,"CO",1989,16021,2317,29.4
"56",8111,8,111,"CO",1989,29783,2281,8
"57",8113,8,113,"CO",1989,24928,2512,10.3
"58",8115,8,115,"CO",1989,23708,2323,12.5
"59",8117,8,117,"CO",1989,31917,2779,5.3
"60",8119,8,119,"CO",1989,31329,2268,9.8
"61",8121,8,121,"CO",1989,24478,2290,14.1
"62",8123,8,123,"CO",1989,25909,2243,16.8
"63",8125,8,125,"CO",1989,24240,2509,14
"64",8001,8,1,"CO",1993,33495,2111,12.9
"65",8003,8,3,"CO",1993,24997,2341,24
"66",8005,8,5,"CO",1993,43890,2080,6.7
