"Population Estimates by Region and County, 2000 - 2017, Vintage 2017, State Demography Office",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,
  REGIONS,2000  ,2001  ,2002  ,2003  ,2004  ,2005  ,2006  ,2007  ,2008  ,2009  ,2010,2011,2012,2013,2014,2015,2016,2017,
,,,,,,,,,,,,,,,,,,,
 COLORADO,"4,338,785","4,444,513","4,504,709","4,555,084","4,608,811","4,662,534","4,745,660","4,821,784","4,901,938","4,976,853","5,050,332","5,119,182","5,189,861","5,266,317","5,345,680","5,444,871","5,534,240","5,609,445",
,,,,,,,,,,,,,,,,,,,
 FRONT RANGE,"3,540,107","3,631,873","3,683,739","3,725,826","3,774,837","3,823,278","3,895,864","3,961,766","4,031,743","4,097,672","4,162,827","4,233,010","4,304,318","4,379,610","4,456,314","4,549,265","4,628,235","4,694,304",
    Denver-Bldr Region,"2,421,222","2,476,410","2,504,883","2,528,665","2,558,106","2,582,177","2,626,197","2,670,038","2,716,819","2,762,164","2,797,896","2,847,883","2,899,133","2,953,462","3,008,976","3,070,803","3,117,696","3,154,134",
      Denver PMSA,"2,144,968","2,192,900","2,220,450","2,245,902","2,274,818","2,299,267","2,340,064","2,381,281","2,424,992","2,468,523","2,502,291","2,547,773","2,594,099","2,643,834","2,696,388","2,752,732","2,796,333","2,831,280",
      Boulder PMSA,"276,254","283,510","284,433","282,763","283,288","282,910","286,133","288,757","291,827","293,641","295,605","300,110","305,034","309,628","312,588","318,071","321,363","322,854",
,,,,,,,,,,,,,,,,,,,
   North Front Range,"436,161","453,393","465,146","475,303","487,338","499,305","512,310","525,033","536,510","546,461","554,762","563,709","574,477","585,870","599,447","617,454","632,998","648,288",
      Fort Collins MSA,"253,087","260,911","266,171","268,146","273,269","275,873","281,027","286,754","292,394","297,502","300,532","305,135","310,636","315,983","323,792","332,980","338,704","343,853",
      Greeley MSA,"183,074","192,482","198,975","207,157","214,069","223,432","231,283","238,279","244,116","248,959","254,230","258,574","263,841","269,887","275,655","284,474","294,294","304,435",
,,,,,,,,,,,,,,,,,,,
