fips,year,county,jud_district,medianHI,medianHI_MOE,povertyR,yfips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8001,2014,Adams,17,59316,1982,12.9,201408001,CO,Adams County,469377,314230,154732,159498,13431,10443,115744,2370,NA,172242,suburban,West,Mountain,5,19740,1167.272,15955.71,NA,NA,NA,1025,166,861,4,112,828,5,987,518,61,533,126,6,34,2,68,67,NA,NA,NA,1935,153,1782,NA,296,NA,NA,0,790,871,103,768,NA,153,NA,NA,0,360,1,0,205,226,478569,15561,1639,13922,17,357,267,998,1984,10180,1650,108
8001,2015,Adams,17,62991,1881,12.8,201508001,CO,Adams County,479488,321286,157734,163552,14078,10893,119695,2407,NA,174213,suburban,West,Mountain,5,19740,1167.272,16310,NA,NA,NA,941,119,760,7,89,828,5,987,404,61,533,106,6,14,2,4,0,NA,NA,NA,1792,144,1648,NA,249,NA,NA,0,753,866,112,754,NA,133,NA,NA,0,350,1,0,205,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,2016,Adams,17,65442,2165,11.7,201608001,CO,Adams County,489822,328457,160960,167497,14687,11298,124285,2476,NA,175711,suburban,West,Mountain,5,19740,1167.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,205,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,2014,Alamosa,12,38140,3801,22.5,201408003,CO,Alamosa County,16200,10946,5413,5533,124,201,4884,149,NA,5588,rural,West,Mountain,264,NA,722.577,1159,NA,NA,NA,90,14,54,0,1,4,0,62,47,0,0,0,0,0,0,0,0,NA,NA,NA,103,16,87,FALSE,NA,NA,NA,6,43,66,12,54,FALSE,NA,NA,NA,4,17,1,41,132,154,6799,95,0,95,0,0,0,0,4,89,1,1
8003,2015,Alamosa,12,40067,4003,24,201508003,CO,Alamosa County,16213,10891,5378,5513,136,216,4912,157,NA,5470,rural,West,Mountain,264,NA,722.577,1159,NA,NA,NA,90,14,54,0,1,4,0,62,47,0,0,0,0,0,0,0,0,NA,NA,NA,96,16,80,FALSE,5,NA,NA,2,35,70,12,58,FALSE,4,NA,FALSE,0,21,1,41,132,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,2016,Alamosa,12,37057,3598,24.8,201608003,CO,Alamosa County,16305,10892,5429,5463,127,227,4951,154,NA,5433,rural,West,Mountain,264,NA,722.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,132,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8005,2014,Arapahoe,18,65359,1878,11.2,201408005,CO,Arapahoe County,606839,412708,209040,203668,25704,46110,72702,2296,NA,265896,suburban,West,Mountain,5,19740,797.932,18875.71,NA,NA,NA,1052,194,947,8,378,75,6,666,706,67,544,16,4,7,4,62,57,NA,NA,NA,2042,200,1842,NA,801,NA,NA,0,798,950,125,825,NA,349,NA,NA,0,385,4,345,1366,916,618948,17437,1807,15630,10,355,446,996,2783,11231,1497,119
8005,2015,Arapahoe,18,67062,1540,9.2,201508005,CO,Arapahoe County,617385,418556,211151,207405,26696,47593,74855,2335,NA,267077,suburban,West,Mountain,5,19740,797.932,17909,NA,NA,NA,1008,133,880,13,282,35,3,670,567,67,544,16,4,7,4,7,0,NA,NA,NA,1848,173,1675,NA,727,NA,NA,0,703,764,106,658,NA,283,NA,NA,0,315,4,345,1366,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8005,2016,Arapahoe,18,70866,1891,9,201608005,CO,Arapahoe County,628834,425396,213946,211450,28253,49153,77191,2406,NA,268393,suburban,West,Mountain,5,19740,797.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,345,1366,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2014,Archuleta,6,44508,4378,14.7,201408007,CO,Archuleta County,12205,7687,3884,3803,73,59,1396,121,NA,6038,rural,West,Mountain,423,NA,1350.096,368,NA,NA,NA,23,4,23,0,0,3,1,23,22,1,16,1,0,0,0,0,0,NA,NA,NA,28,NA,NA,FALSE,0,NA,NA,1,19,18,NA,NA,FALSE,0,NA,NA,1,13,0,0,0,0,12297,242,23,219,2,3,0,18,56,154,8,1
8007,2015,Archuleta,6,50361,4972,13.1,201508007,CO,Archuleta County,12222,7546,3789,3757,74,56,1437,120,NA,5859,rural,West,Mountain,423,NA,1350.096,368,NA,NA,NA,23,4,23,0,0,3,1,23,22,1,16,1,0,0,0,0,0,NA,NA,NA,33,NA,NA,FALSE,0,NA,NA,2,23,20,NA,NA,FALSE,0,NA,NA,2,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2016,Archuleta,6,51998,5440,12,201608007,CO,Archuleta County,12382,7518,3756,3762,76,72,1465,128,NA,5777,rural,West,Mountain,423,NA,1350.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2014,Baca,15,36294,3793,20,201408009,CO,Baca County,3655,2129,1031,1098,10,22,221,30,NA,1846,rural,West,Mountain,693,NA,2554.993,156.4286,NA,NA,NA,7,0,4,0,0,0,0,4,3,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3677,33,5,28,0,1,0,4,12,12,4,0
8009,2015,Baca,15,35405,3623,20.8,201508009,CO,Baca County,3586,2074,1004,1070,7,26,231,30,NA,1780,rural,West,Mountain,693,NA,2554.993,156.4286,NA,NA,NA,7,0,4,0,0,0,0,4,3,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,FALSE,0,FALSE,FALSE,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2016,Baca,15,34070,3263,20.2,201608009,CO,Baca County,3552,2048,1004,1044,7,32,229,29,NA,1751,rural,West,Mountain,693,NA,2554.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8011,2014,Bent,16,35424,3674,32.3,201408011,CO,Bent County,5733,4051,1213,2838,67,370,1296,62,NA,2256,rural,West,Mountain,500,NA,1512.865,537,NA,NA,NA,31,5,25,0,1,19,0,10,22,1,16,6,0,9,0,0,0,NA,NA,NA,25,NA,NA,FALSE,NA,NA,FALSE,2,8,13,NA,NA,FALSE,0,NA,FALSE,0,4,1,183,725,745,5534,81,8,73,0,1,1,6,28,39,6,0
8011,2015,Bent,16,36630,3771,36.7,201508011,CO,Bent County,5784,4086,1143,2943,70,415,1338,63,NA,2200,rural,West,Mountain,500,NA,1512.865,537,NA,NA,NA,31,5,25,0,1,19,0,10,22,1,16,6,0,9,0,0,0,NA,NA,NA,24,NA,NA,FALSE,NA,NA,FALSE,1,7,12,NA,NA,FALSE,NA,NA,FALSE,1,5,1,183,725,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8011,2016,Bent,16,33951,3399,34.1,201608011,CO,Bent County,5893,4162,1165,2997,77,424,1345,68,NA,2248,rural,West,Mountain,500,NA,1512.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,183,725,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8013,2014,Boulder,20,71546,3274,13.3,201408013,CO,Boulder County,309749,221242,109012,112230,11308,2563,27629,1116,NA,178626,small/mid,West,Mountain,5,14500,726.367,10115.71,NA,NA,NA,524,75,443,6,19,105,4,382,283,28,272,9,0,20,3,22,0,NA,NA,NA,627,41,586,NA,48,NA,NA,0,394,305,22,283,NA,19,NA,NA,0,207,1,0,64,69,251443,6681,619,6062,5,186,73,355,930,4679,355,98
8013,2015,Boulder,20,72392,4317,12.3,201508013,CO,Boulder County,312505,222240,109394,112846,11588,2675,28044,1110,NA,178823,small/mid,West,Mountain,5,14500,726.367,8566,NA,NA,NA,465,67,359,3,13,90,5,315,213,28,272,15,0,11,3,22,0,NA,NA,NA,584,34,550,NA,58,NA,NA,0,352,244,25,219,NA,24,NA,NA,0,156,1,0,64,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8013,2016,Boulder,20,74772,3149,10.8,201608013,CO,Boulder County,317968,225700,110791,114909,11980,2760,28896,1139,NA,180925,small/mid,West,Mountain,5,14500,726.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,64,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8014,2014,Broomfield,17,85885,5291,4,201408014,CO,Broomfield County,60065,40451,20078,20373,2750,538,4654,200,NA,32309,suburban,West,Mountain,NA,19740,33.004,2224,NA,NA,NA,61,13,56,0,2,21,0,44,44,0,0,0,0,0,0,4,0,NA,NA,NA,61,7,54,FALSE,NA,NA,NA,5,39,36,6,30,FALSE,NA,NA,FALSE,2,26,0,0,0,0,60693,1077,31,1046,0,15,5,11,115,888,37,6
8014,2015,Broomfield,17,86548,5333,4.9,201508014,CO,Broomfield County,61706,41485,20624,20861,2903,608,4848,219,NA,32907,suburban,West,Mountain,NA,19740,33.004,2224,NA,NA,NA,61,13,56,0,2,21,0,44,44,0,0,0,0,0,0,4,0,NA,NA,NA,61,6,55,NA,NA,NA,FALSE,4,38,43,4,39,NA,NA,NA,FALSE,3,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8014,2016,Broomfield,17,86870,6091,5.3,201608014,CO,Broomfield County,64796,43762,21714,22048,3060,677,5321,239,NA,34465,suburban,West,Mountain,NA,19740,33.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
