fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8001,2014,"Adams",1,8022,156,8178,"Misdemeanor",5369,4650,719,286,250,36,5655,17,59316,1982,12.9
8001,2014,"Adams",190,3166,215,3381,"Felony",1846,1467,379,221,195,26,2067,17,59316,1982,12.9
8001,2015,"Adams",2,8018,308,8326,"Misdemeanor",5243,4512,731,369,335,34,5612,17,62991,1881,12.8
8001,2015,"Adams",191,3305,354,3659,"Felony",1916,1517,399,345,286,59,2261,17,62991,1881,12.8
8001,2016,"Adams",3,6789,1211,8000,"Misdemeanor",3672,3149,523,1307,1113,194,4979,17,65442,2165,11.7
8001,2016,"Adams",192,3307,713,4020,"Felony",1835,1444,391,720,619,101,2555,17,65442,2165,11.7
8003,2014,"Alamosa",4,317,112,429,"Misdemeanor",188,154,34,110,88,22,298,12,38140,3801,22.5
8003,2014,"Alamosa",193,212,84,296,"Felony",108,84,24,82,67,15,190,12,38140,3801,22.5
8003,2015,"Alamosa",5,367,122,489,"Misdemeanor",219,154,65,115,84,31,334,12,40067,4003,24.0
8003,2015,"Alamosa",194,260,86,346,"Felony",138,99,39,85,68,17,223,12,40067,4003,24.0
8003,2016,"Alamosa",6,328,184,512,"Misdemeanor",166,135,31,178,141,37,344,12,37057,3598,24.8
8003,2016,"Alamosa",195,341,215,556,"Felony",165,122,43,214,167,47,379,12,37057,3598,24.8
8005,2014,"Arapahoe",7,4405,3151,7556,"Misdemeanor",2589,2184,405,2091,1820,271,4680,18,65359,1878,11.2
8005,2014,"Arapahoe",196,2631,364,2995,"Felony",1501,1206,295,356,302,54,1857,18,65359,1878,11.2
8005,2015,"Arapahoe",8,3703,3890,7593,"Misdemeanor",2329,1976,353,2317,2049,268,4646,18,67062,1540,9.2
8005,2015,"Arapahoe",197,2482,668,3150,"Felony",1504,1226,278,668,565,103,2172,18,67062,1540,9.2
8005,2016,"Arapahoe",9,4693,2393,7086,"Misdemeanor",2099,1876,223,1583,1421,162,3682,18,70866,1891,9.0
8005,2016,"Arapahoe",198,2709,503,3212,"Felony",1692,1432,260,507,443,64,2199,18,70866,1891,9.0
8007,2014,"Archuleta",10,212,118,330,"Misdemeanor",135,118,17,119,100,19,254,6,44508,4378,14.7
8007,2014,"Archuleta",199,46,41,87,"Felony",30,22,8,42,33,9,72,6,44508,4378,14.7
8007,2015,"Archuleta",11,156,97,253,"Misdemeanor",114,95,19,93,71,22,207,6,50361,4972,13.1
8007,2015,"Archuleta",200,46,36,82,"Felony",31,22,9,36,28,8,67,6,50361,4972,13.1
8007,2016,"Archuleta",12,194,126,320,"Misdemeanor",128,99,29,127,97,30,255,6,51998,5440,12.0
8007,2016,"Archuleta",201,49,46,95,"Felony",32,21,11,47,27,20,79,6,51998,5440,12.0
8009,2014,"Baca",13,103,10,113,"Misdemeanor",55,51,4,10,10,NA,65,15,36294,3793,20.0
8009,2014,"Baca",202,27,3,30,"Felony",17,13,4,3,3,NA,20,15,36294,3793,20.0
8009,2015,"Baca",14,106,7,113,"Misdemeanor",51,43,8,7,6,1,58,15,35405,3623,20.8
8009,2015,"Baca",203,18,11,29,"Felony",13,8,5,10,10,NA,23,15,35405,3623,20.8
8009,2016,"Baca",15,105,7,112,"Misdemeanor",54,46,8,8,8,NA,62,15,34070,3263,20.2
8009,2016,"Baca",204,26,6,32,"Felony",10,9,1,6,4,2,16,15,34070,3263,20.2
8011,2014,"Bent",16,184,53,237,"Misdemeanor",151,114,37,49,36,13,200,16,35424,3674,32.3
8011,2014,"Bent",205,35,14,49,"Felony",28,17,11,15,10,5,43,16,35424,3674,32.3
8011,2015,"Bent",17,109,52,161,"Misdemeanor",74,60,14,46,40,6,120,16,36630,3771,36.7
8011,2015,"Bent",206,30,18,48,"Felony",24,16,8,16,13,3,40,16,36630,3771,36.7
8011,2016,"Bent",18,116,65,181,"Misdemeanor",70,53,17,59,42,17,129,16,33951,3399,34.1
8011,2016,"Bent",207,53,13,66,"Felony",35,25,10,12,6,6,47,16,33951,3399,34.1
8013,2014,"Boulder",19,2444,545,2989,"Misdemeanor",1444,1256,188,590,543,47,2034,20,71546,3274,13.3
8013,2014,"Boulder",208,1548,215,1763,"Felony",842,715,127,235,217,18,1077,20,71546,3274,13.3
8013,2015,"Boulder",20,2346,637,2983,"Misdemeanor",1331,1149,182,645,593,52,1976,20,72392,4317,12.3
8013,2015,"Boulder",209,1630,294,1924,"Felony",904,756,148,308,282,26,1212,20,72392,4317,12.3
8013,2016,"Boulder",21,2275,860,3135,"Misdemeanor",1265,1086,179,848,758,90,2113,20,74772,3149,10.8
8013,2016,"Boulder",210,1662,536,2198,"Felony",898,763,135,550,496,54,1448,20,74772,3149,10.8
8014,2014,"Broomfield",22,1213,86,1299,"Misdemeanor",905,833,72,86,77,9,991,17,85885,5291,4.0
8014,2014,"Broomfield",211,285,11,296,"Felony",199,167,32,11,10,1,210,17,85885,5291,4.0
