"","county","year","money_bond_freq","pr_bond_freq","total_bond_freq","off_type","money_posted","money_bond_new_no","money_new_yes","pr_posted","pr_new_no","pr_new_yes","total_new"
"1","Adams",2014,8022,156,8178,"Misdemeanor",5369,4650,719,286,250,36,5655
"2","Adams",2015,8018,308,8326,"Misdemeanor",5243,4512,731,369,335,34,5612
"3","Adams",2016,6789,1211,8000,"Misdemeanor",3672,3149,523,1307,1113,194,4979
"4","Alamosa",2014,317,112,429,"Misdemeanor",188,154,34,110,88,22,298
"5","Alamosa",2015,367,122,489,"Misdemeanor",219,154,65,115,84,31,334
"6","Alamosa",2016,328,184,512,"Misdemeanor",166,135,31,178,141,37,344
"7","Arapahoe",2014,4405,3151,7556,"Misdemeanor",2589,2184,405,2091,1820,271,4680
"8","Arapahoe",2015,3703,3890,7593,"Misdemeanor",2329,1976,353,2317,2049,268,4646
"9","Arapahoe",2016,4693,2393,7086,"Misdemeanor",2099,1876,223,1583,1421,162,3682
"10","Archuleta",2014,212,118,330,"Misdemeanor",135,118,17,119,100,19,254
"11","Archuleta",2015,156,97,253,"Misdemeanor",114,95,19,93,71,22,207
"12","Archuleta",2016,194,126,320,"Misdemeanor",128,99,29,127,97,30,255
"13","Baca",2014,103,10,113,"Misdemeanor",55,51,4,10,10,NA,65
"14","Baca",2015,106,7,113,"Misdemeanor",51,43,8,7,6,1,58
"15","Baca",2016,105,7,112,"Misdemeanor",54,46,8,8,8,NA,62
"16","Bent",2014,184,53,237,"Misdemeanor",151,114,37,49,36,13,200
"17","Bent",2015,109,52,161,"Misdemeanor",74,60,14,46,40,6,120
"18","Bent",2016,116,65,181,"Misdemeanor",70,53,17,59,42,17,129
"19","Boulder",2014,2444,545,2989,"Misdemeanor",1444,1256,188,590,543,47,2034
"20","Boulder",2015,2346,637,2983,"Misdemeanor",1331,1149,182,645,593,52,1976
"21","Boulder",2016,2275,860,3135,"Misdemeanor",1265,1086,179,848,758,90,2113
"22","Broomfield",2014,1213,86,1299,"Misdemeanor",905,833,72,86,77,9,991
"23","Broomfield",2015,1082,76,1158,"Misdemeanor",771,679,92,74,69,5,845
"24","Broomfield",2016,826,262,1088,"Misdemeanor",518,453,65,264,233,31,782
"25","Chaffee",2014,299,103,402,"Misdemeanor",196,171,25,103,95,8,299
"26","Chaffee",2015,290,153,443,"Misdemeanor",175,152,23,158,136,22,333
"27","Chaffee",2016,271,184,455,"Misdemeanor",149,119,30,175,146,29,324
"28","Cheyenne",2014,41,6,47,"Misdemeanor",21,19,2,6,5,1,27
"29","Cheyenne",2015,44,1,45,"Misdemeanor",24,23,1,1,1,NA,25
"30","Cheyenne",2016,71,8,79,"Misdemeanor",31,27,4,8,6,2,39
"31","Clear Creek",2014,360,133,493,"Misdemeanor",215,190,25,24,19,5,239
"32","Clear Creek",2015,382,141,523,"Misdemeanor",246,224,22,30,29,1,276
"33","Clear Creek",2016,393,122,515,"Misdemeanor",224,194,30,38,29,9,262
"34","Conejos",2014,132,35,167,"Misdemeanor",85,72,13,33,24,9,118
"35","Conejos",2015,112,47,159,"Misdemeanor",71,59,12,47,42,5,118
"36","Conejos",2016,115,42,157,"Misdemeanor",77,61,16,40,30,10,117
"37","Costilla",2014,121,28,149,"Misdemeanor",70,61,9,22,19,3,92
"38","Costilla",2015,120,21,141,"Misdemeanor",86,73,13,20,18,2,106
"39","Costilla",2016,115,24,139,"Misdemeanor",55,49,6,18,17,1,73
"40","Crowley",2014,54,20,74,"Misdemeanor",40,32,8,21,18,3,61
"41","Crowley",2015,51,28,79,"Misdemeanor",37,29,8,29,22,7,66
"42","Crowley",2016,34,15,49,"Misdemeanor",22,19,3,14,8,6,36
"43","Custer",2014,48,14,62,"Misdemeanor",38,32,6,14,14,NA,52
"44","Custer",2015,71,24,95,"Misdemeanor",46,40,6,24,21,3,70
"45","Custer",2016,47,29,76,"Misdemeanor",36,29,7,30,26,4,66
"46","Delta",2014,428,66,494,"Misdemeanor",283,234,49,130,115,15,413
"47","Delta",2015,460,70,530,"Misdemeanor",297,256,41,146,124,22,443
"48","Delta",2016,557,65,622,"Misdemeanor",282,252,30,217,179,38,499
"49","Dolores",2014,29,10,39,"Misdemeanor",18,15,3,8,8,NA,26
"50","Dolores",2015,26,15,41,"Misdemeanor",12,11,1,8,8,NA,20
"51","Dolores",2016,15,24,39,"Misdemeanor",8,7,1,12,11,1,20
"52","Douglas",2014,2230,625,2855,"Misdemeanor",1339,1199,140,582,529,53,1921
"53","Douglas",2015,2315,975,3290,"Misdemeanor",1381,1260,121,928,840,88,2309
"54","Douglas",2016,2810,979,3789,"Misdemeanor",1581,1444,137,943,842,101,2524
"55","Eagle",2014,759,228,987,"Misdemeanor",362,317,45,223,197,26,585
"56","Eagle",2015,861,166,1027,"Misdemeanor",419,359,60,208,188,20,627
"57","Eagle",2016,891,158,1049,"Misdemeanor",483,417,66,166,147,19,649
"58","El Paso",2014,7742,993,8735,"Misdemeanor",3521,3085,436,1176,1099,77,4697
