county,year,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type
Adams,2014,8022,156,8178,misdemeanorbondtype
Adams,2015,8018,308,8326,misdemeanorbondtype
Adams,2016,6789,1211,8e3,misdemeanorbondtype
Alamosa,2014,317,112,429,misdemeanorbondtype
Alamosa,2015,367,122,489,misdemeanorbondtype
Alamosa,2016,328,184,512,misdemeanorbondtype
Arapahoe,2014,4405,3151,7556,misdemeanorbondtype
Arapahoe,2015,3703,3890,7593,misdemeanorbondtype
Arapahoe,2016,4693,2393,7086,misdemeanorbondtype
Archuleta,2014,212,118,330,misdemeanorbondtype
Archuleta,2015,156,97,253,misdemeanorbondtype
Archuleta,2016,194,126,320,misdemeanorbondtype
Baca,2014,103,10,113,misdemeanorbondtype
Baca,2015,106,7,113,misdemeanorbondtype
Baca,2016,105,7,112,misdemeanorbondtype
Bent,2014,184,53,237,misdemeanorbondtype
Bent,2015,109,52,161,misdemeanorbondtype
Bent,2016,116,65,181,misdemeanorbondtype
Boulder,2014,2444,545,2989,misdemeanorbondtype
Boulder,2015,2346,637,2983,misdemeanorbondtype
Boulder,2016,2275,860,3135,misdemeanorbondtype
Broomfield,2014,1213,86,1299,misdemeanorbondtype
Broomfield,2015,1082,76,1158,misdemeanorbondtype
Broomfield,2016,826,262,1088,misdemeanorbondtype
Chaffee,2014,299,103,402,misdemeanorbondtype
Chaffee,2015,290,153,443,misdemeanorbondtype
Chaffee,2016,271,184,455,misdemeanorbondtype
Cheyenne,2014,41,6,47,misdemeanorbondtype
Cheyenne,2015,44,1,45,misdemeanorbondtype
Cheyenne,2016,71,8,79,misdemeanorbondtype
Clear Creek,2014,360,133,493,misdemeanorbondtype
Clear Creek,2015,382,141,523,misdemeanorbondtype
Clear Creek,2016,393,122,515,misdemeanorbondtype
Conejos,2014,132,35,167,misdemeanorbondtype
Conejos,2015,112,47,159,misdemeanorbondtype
Conejos,2016,115,42,157,misdemeanorbondtype
Costilla,2014,121,28,149,misdemeanorbondtype
Costilla,2015,120,21,141,misdemeanorbondtype
Costilla,2016,115,24,139,misdemeanorbondtype
Crowley,2014,54,20,74,misdemeanorbondtype
Crowley,2015,51,28,79,misdemeanorbondtype
Crowley,2016,34,15,49,misdemeanorbondtype
Custer,2014,48,14,62,misdemeanorbondtype
Custer,2015,71,24,95,misdemeanorbondtype
Custer,2016,47,29,76,misdemeanorbondtype
Delta,2014,428,66,494,misdemeanorbondtype
Delta,2015,460,70,530,misdemeanorbondtype
Delta,2016,557,65,622,misdemeanorbondtype
Dolores,2014,29,10,39,misdemeanorbondtype
Dolores,2015,26,15,41,misdemeanorbondtype
Dolores,2016,15,24,39,misdemeanorbondtype
Douglas,2014,2230,625,2855,misdemeanorbondtype
Douglas,2015,2315,975,3290,misdemeanorbondtype
Douglas,2016,2810,979,3789,misdemeanorbondtype
Eagle,2014,759,228,987,misdemeanorbondtype
Eagle,2015,861,166,1027,misdemeanorbondtype
Eagle,2016,891,158,1049,misdemeanorbondtype
El Paso,2014,7742,993,8735,misdemeanorbondtype
El Paso,2015,8076,1069,9145,misdemeanorbondtype
El Paso,2016,8061,1074,9135,misdemeanorbondtype
Elbert,2014,226,77,303,misdemeanorbondtype
Elbert,2015,240,82,322,misdemeanorbondtype
Elbert,2016,212,117,329,misdemeanorbondtype
Fremont,2014,563,193,756,misdemeanorbondtype
Fremont,2015,636,226,862,misdemeanorbondtype
Fremont,2016,423,594,1017,misdemeanorbondtype
Garfield,2014,1057,271,1328,misdemeanorbondtype
Garfield,2015,1104,288,1392,misdemeanorbondtype
Garfield,2016,1113,326,1439,misdemeanorbondtype
Gilpin,2014,422,72,494,misdemeanorbondtype
Gilpin,2015,509,122,631,misdemeanorbondtype
Gilpin,2016,384,126,510,misdemeanorbondtype
Grand,2014,303,21,324,misdemeanorbondtype
Grand,2015,240,65,305,misdemeanorbondtype
Grand,2016,258,95,353,misdemeanorbondtype
Gunnison,2014,326,40,366,misdemeanorbondtype
Gunnison,2015,363,48,411,misdemeanorbondtype
Gunnison,2016,363,43,406,misdemeanorbondtype
Hinsdale,2014,10,NA,10,misdemeanorbondtype
Hinsdale,2015,6,5,11,misdemeanorbondtype
Hinsdale,2016,6,3,9,misdemeanorbondtype
Huerfano,2014,228,25,253,misdemeanorbondtype
Huerfano,2015,234,26,260,misdemeanorbondtype
Huerfano,2016,224,36,260,misdemeanorbondtype
Jackson,2014,17,12,29,misdemeanorbondtype
Jackson,2015,14,7,21,misdemeanorbondtype
Jackson,2016,15,3,18,misdemeanorbondtype
Jefferson,2014,4831,813,5644,misdemeanorbondtype
Jefferson,2015,4920,964,5884,misdemeanorbondtype
Jefferson,2016,5304,1097,6401,misdemeanorbondtype
Kiowa,2014,87,3,90,misdemeanorbondtype
Kiowa,2015,65,4,69,misdemeanorbondtype
Kiowa,2016,53,3,56,misdemeanorbondtype
Kit Carson,2014,181,39,220,misdemeanorbondtype
Kit Carson,2015,164,62,226,misdemeanorbondtype
Kit Carson,2016,196,73,269,misdemeanorbondtype
La Plata,2014,753,463,1216,misdemeanorbondtype
La Plata,2015,906,541,1447,misdemeanorbondtype
La Plata,2016,1e3,463,1463,misdemeanorbondtype
Lake,2014,152,63,215,misdemeanorbondtype
Lake,2015,242,68,310,misdemeanorbondtype
Lake,2016,212,50,262,misdemeanorbondtype
Larimer,2014,2059,3712,5771,misdemeanorbondtype
Larimer,2015,2278,3780,6058,misdemeanorbondtype
Larimer,2016,2306,3737,6043,misdemeanorbondtype
Las Animas,2014,706,123,829,misdemeanorbondtype
Las Animas,2015,698,86,784,misdemeanorbondtype
Las Animas,2016,781,65,846,misdemeanorbondtype
Lincoln,2014,238,8,246,misdemeanorbondtype
Lincoln,2015,354,5,359,misdemeanorbondtype
Lincoln,2016,389,8,397,misdemeanorbondtype
Logan,2014,326,160,486,misdemeanorbondtype
Logan,2015,243,211,454,misdemeanorbondtype
Logan,2016,249,186,435,misdemeanorbondtype
Mesa,2014,1508,1312,2820,misdemeanorbondtype
Mesa,2015,1686,1317,3003,misdemeanorbondtype
Mesa,2016,1589,1402,2991,misdemeanorbondtype
Mineral,2014,40,NA,40,misdemeanorbondtype
Mineral,2015,43,2,45,misdemeanorbondtype
Mineral,2016,36,2,38,misdemeanorbondtype
Moffat,2014,246,95,341,misdemeanorbondtype
Moffat,2015,257,115,372,misdemeanorbondtype
Moffat,2016,246,157,403,misdemeanorbondtype
Montezuma,2014,402,466,868,misdemeanorbondtype
Montezuma,2015,413,403,816,misdemeanorbondtype
Montezuma,2016,421,434,855,misdemeanorbondtype
Montrose,2014,700,155,855,misdemeanorbondtype
Montrose,2015,648,130,778,misdemeanorbondtype
Montrose,2016,607,181,788,misdemeanorbondtype
Morgan,2014,755,201,956,misdemeanorbondtype
Morgan,2015,775,238,1013,misdemeanorbondtype
Morgan,2016,693,247,940,misdemeanorbondtype
Otero,2014,479,157,636,misdemeanorbondtype
Otero,2015,376,228,604,misdemeanorbondtype
Otero,2016,210,305,515,misdemeanorbondtype
Ouray,2014,88,19,107,misdemeanorbondtype
Ouray,2015,79,14,93,misdemeanorbondtype
Ouray,2016,99,13,112,misdemeanorbondtype
Park,2014,313,66,379,misdemeanorbondtype
Park,2015,292,84,376,misdemeanorbondtype
Park,2016,251,105,356,misdemeanorbondtype
Phillips,2014,39,5,44,misdemeanorbondtype
Phillips,2015,41,22,63,misdemeanorbondtype
Phillips,2016,54,21,75,misdemeanorbondtype
Pitkin,2014,164,61,225,misdemeanorbondtype
Pitkin,2015,121,53,174,misdemeanorbondtype
