fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR,yfips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8001,2014,"Adams",8022.0,156,8178.0,"misdemeanorbondtype",17,59316,1982,12.9,201408001,"CO","Adams County",469377,314230,154732,159498,13431,10443,115744,2370,NA,172242,"suburban","West","Mountain",5,19740,1167.272,15955.71,NA,NA,NA,1025.0,166.0,861.0,4.0,112.0,828.0,5,987.0,518.0,61.0,533.0,126.0,6.0,34.0,2.0,68.0,67.0,NA,NA,NA,1935,153,1782,NA,296,NA,NA,0,790,871,103,768,NA,153,NA,NA,0,360,1,0,205,226,478569,15561,1639,13922,17,357,267,998,1984,10180,1650,108
8001,2014,"Adams",3166.0,215,3381.0,"felonybondtype",17,59316,1982,12.9,201408001,"CO","Adams County",469377,314230,154732,159498,13431,10443,115744,2370,NA,172242,"suburban","West","Mountain",5,19740,1167.272,15955.71,NA,NA,NA,1025.0,166.0,861.0,4.0,112.0,828.0,5,987.0,518.0,61.0,533.0,126.0,6.0,34.0,2.0,68.0,67.0,NA,NA,NA,1935,153,1782,NA,296,NA,NA,0,790,871,103,768,NA,153,NA,NA,0,360,1,0,205,226,478569,15561,1639,13922,17,357,267,998,1984,10180,1650,108
8001,2015,"Adams",8018.0,308,8326.0,"misdemeanorbondtype",17,62991,1881,12.8,201508001,"CO","Adams County",479488,321286,157734,163552,14078,10893,119695,2407,NA,174213,"suburban","West","Mountain",5,19740,1167.272,16310.0,NA,NA,NA,941.0,119.0,760.0,7.0,89.0,828.0,5,987.0,404.0,61.0,533.0,106.0,6.0,14.0,2.0,4.0,0.0,NA,NA,NA,1792,144,1648,NA,249,NA,NA,0,753,866,112,754,NA,133,NA,NA,0,350,1,0,205,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,2015,"Adams",3305.0,354,3659.0,"felonybondtype",17,62991,1881,12.8,201508001,"CO","Adams County",479488,321286,157734,163552,14078,10893,119695,2407,NA,174213,"suburban","West","Mountain",5,19740,1167.272,16310.0,NA,NA,NA,941.0,119.0,760.0,7.0,89.0,828.0,5,987.0,404.0,61.0,533.0,106.0,6.0,14.0,2.0,4.0,0.0,NA,NA,NA,1792,144,1648,NA,249,NA,NA,0,753,866,112,754,NA,133,NA,NA,0,350,1,0,205,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,2016,"Adams",6789.0,1211,8000.0,"misdemeanorbondtype",17,65442,2165,11.7,201608001,"CO","Adams County",489822,328457,160960,167497,14687,11298,124285,2476,NA,175711,"suburban","West","Mountain",5,19740,1167.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,205,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,2016,"Adams",3307.0,713,4020.0,"felonybondtype",17,65442,2165,11.7,201608001,"CO","Adams County",489822,328457,160960,167497,14687,11298,124285,2476,NA,175711,"suburban","West","Mountain",5,19740,1167.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,205,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,2014,"Alamosa",317.0,112,429.0,"misdemeanorbondtype",12,38140,3801,22.5,201408003,"CO","Alamosa County",16200,10946,5413,5533,124,201,4884,149,NA,5588,"rural","West","Mountain",264,NA,722.577,1159.0,NA,NA,NA,90.0,14.0,54.0,0.0,1.0,4.0,0,62.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,103,16,87,False,NA,NA,NA,6,43,66,12,54,False,NA,NA,NA,4,17,1,41,132,154,6799,95,0,95,0,0,0,0,4,89,1,1
8003,2014,"Alamosa",212.0,84,296.0,"felonybondtype",12,38140,3801,22.5,201408003,"CO","Alamosa County",16200,10946,5413,5533,124,201,4884,149,NA,5588,"rural","West","Mountain",264,NA,722.577,1159.0,NA,NA,NA,90.0,14.0,54.0,0.0,1.0,4.0,0,62.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,103,16,87,False,NA,NA,NA,6,43,66,12,54,False,NA,NA,NA,4,17,1,41,132,154,6799,95,0,95,0,0,0,0,4,89,1,1
8003,2015,"Alamosa",367.0,122,489.0,"misdemeanorbondtype",12,40067,4003,24.0,201508003,"CO","Alamosa County",16213,10891,5378,5513,136,216,4912,157,NA,5470,"rural","West","Mountain",264,NA,722.577,1159.0,NA,NA,NA,90.0,14.0,54.0,0.0,1.0,4.0,0,62.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,96,16,80,False,5,NA,NA,2,35,70,12,58,False,4,NA,False,0,21,1,41,132,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,2015,"Alamosa",260.0,86,346.0,"felonybondtype",12,40067,4003,24.0,201508003,"CO","Alamosa County",16213,10891,5378,5513,136,216,4912,157,NA,5470,"rural","West","Mountain",264,NA,722.577,1159.0,NA,NA,NA,90.0,14.0,54.0,0.0,1.0,4.0,0,62.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,96,16,80,False,5,NA,NA,2,35,70,12,58,False,4,NA,False,0,21,1,41,132,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
