Jurisdiction by Geography,Offense Type,Incident Date,Number of Crimes
Adams County,Crimes Against Person,2016,"11,434"
Adams County,Crimes Against Property,2016,"44,330"
Adams County,Crimes Against Society,2016,"7,294"
Adams County,Missing,2016,
Alamosa County,Crimes Against Person,2016,47
Alamosa County,Crimes Against Property,2016,200
Alamosa County,Crimes Against Society,2016,24
Alamosa County,Missing,2016,
Arapahoe County,Crimes Against Person,2016,"2,299"
Arapahoe County,Crimes Against Property,2016,"12,771"
Arapahoe County,Crimes Against Society,2016,"1,707"
Arapahoe County,Missing,2016,
Archuleta County,Crimes Against Person,2016,115
Archuleta County,Crimes Against Property,2016,214
Archuleta County,Crimes Against Society,2016,42
Archuleta County,Missing,2016,
Baca County,Crimes Against Person,2016,31
Baca County,Crimes Against Property,2016,36
Baca County,Crimes Against Society,2016,5
Baca County,Missing,2016,
Bent County,Crimes Against Person,2016,29
Bent County,Crimes Against Property,2016,194
Bent County,Crimes Against Society,2016,4
Bent County,Missing,2016,
Boulder County,Crimes Against Person,2016,"2,899"
Boulder County,Crimes Against Property,2016,"12,141"
Boulder County,Crimes Against Society,2016,"1,973"
Boulder County,Missing,2016,
Chaffee County,Crimes Against Person,2016,103
Chaffee County,Crimes Against Property,2016,460
Chaffee County,Crimes Against Society,2016,106
Chaffee County,Missing,2016,
Cheyenne County,Crimes Against Person,2016,6
Cheyenne County,Crimes Against Property,2016,5
Cheyenne County,Crimes Against Society,2016,
Cheyenne County,Missing,2016,
Clear Creek County,Crimes Against Person,2016,159
Clear Creek County,Crimes Against Property,2016,301
Clear Creek County,Crimes Against Society,2016,40
Clear Creek County,Missing,2016,
Conejos County,Crimes Against Person,2016,34
Conejos County,Crimes Against Property,2016,69
Conejos County,Crimes Against Society,2016,
Conejos County,Missing,2016,
Costilla County,Crimes Against Person,2016,
Costilla County,Crimes Against Property,2016,
Costilla County,Crimes Against Society,2016,
Costilla County,Missing,2016,
Crowley County,Crimes Against Person,2016,34
Crowley County,Crimes Against Property,2016,100
Crowley County,Crimes Against Society,2016,12
Crowley County,Missing,2016,
Custer County,Crimes Against Person,2016,73
Custer County,Crimes Against Property,2016,192
Custer County,Crimes Against Society,2016,29
Custer County,Missing,2016,
Delta County,Crimes Against Person,2016,194
Delta County,Crimes Against Property,2016,766
Delta County,Crimes Against Society,2016,54
Delta County,Missing,2016,
Denver County,Crimes Against Person,2016,"11,122"
Denver County,Crimes Against Property,2016,"34,428"
Denver County,Crimes Against Society,2016,"5,969"
Denver County,Missing,2016,
Dolores County,Crimes Against Person,2016,24
Dolores County,Crimes Against Property,2016,28
Dolores County,Crimes Against Society,2016,13
Dolores County,Missing,2016,
Douglas County,Crimes Against Person,2016,"1,811"
Douglas County,Crimes Against Property,2016,"8,824"
Douglas County,Crimes Against Society,2016,"1,179"
Douglas County,Missing,2016,
Eagle County,Crimes Against Person,2016,355
Eagle County,Crimes Against Property,2016,"1,532"
Eagle County,Crimes Against Society,2016,192
Eagle County,Missing,2016,
Elbert County,Crimes Against Person,2016,19
Elbert County,Crimes Against Property,2016,13
Elbert County,Crimes Against Society,2016,10
Elbert County,Missing,2016,
El Paso County,Crimes Against Person,2016,"6,667"
El Paso County,Crimes Against Property,2016,"33,229"
El Paso County,Crimes Against Society,2016,"3,747"
El Paso County,Missing,2016,
Fremont County,Crimes Against Person,2016,216
Fremont County,Crimes Against Property,2016,481
Fremont County,Crimes Against Society,2016,200
Fremont County,Missing,2016,
Garfield County,Crimes Against Person,2016,601
Garfield County,Crimes Against Property,2016,"1,827"
Garfield County,Crimes Against Society,2016,361
Garfield County,Missing,2016,
Gilpin County,Crimes Against Person,2016,71
Gilpin County,Crimes Against Property,2016,968
Gilpin County,Crimes Against Society,2016,105
Gilpin County,Missing,2016,
Grand County,Crimes Against Person,2016,42
Grand County,Crimes Against Property,2016,190
Grand County,Crimes Against Society,2016,12
Grand County,Missing,2016,
Gunnison County,Crimes Against Person,2016,157
Gunnison County,Crimes Against Property,2016,377
Gunnison County,Crimes Against Society,2016,95
