district,year,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type
1,2014,5253,885,6138,misdemeanorbondtype
1,2015,5429,1086,6515,misdemeanorbondtype
1,2016,5688,1223,6911,misdemeanorbondtype
2,2014,NA,NA,NA,misdemeanorbondtype
2,2015,NA,NA,NA,misdemeanorbondtype
2,2016,NA,NA,NA,misdemeanorbondtype
3,2014,934,148,1082,misdemeanorbondtype
3,2015,932,112,1044,misdemeanorbondtype
3,2016,1005,101,1106,misdemeanorbondtype
4,2014,8271,1132,9403,misdemeanorbondtype
4,2015,8580,1190,9770,misdemeanorbondtype
4,2016,8522,1193,9715,misdemeanorbondtype
5,2014,2133,487,2620,misdemeanorbondtype
5,2015,2423,485,2908,misdemeanorbondtype
5,2016,2316,442,2758,misdemeanorbondtype
6,2014,976,583,1559,misdemeanorbondtype
6,2015,1081,639,1720,misdemeanorbondtype
6,2016,1213,593,1806,misdemeanorbondtype
7,2014,1686,313,1999,misdemeanorbondtype
7,2015,1699,297,1996,misdemeanorbondtype
7,2016,1841,330,2171,misdemeanorbondtype
8,2014,2076,3724,5800,misdemeanorbondtype
8,2015,2292,3787,6079,misdemeanorbondtype
8,2016,2321,3740,6061,misdemeanorbondtype
9,2014,1414,344,1758,misdemeanorbondtype
9,2015,1419,355,1774,misdemeanorbondtype
9,2016,1411,391,1802,misdemeanorbondtype
10,2014,2513,835,3348,misdemeanorbondtype
10,2015,2077,1332,3409,misdemeanorbondtype
10,2016,1906,1576,3482,misdemeanorbondtype
11,2014,1223,376,1599,misdemeanorbondtype
11,2015,1289,487,1776,misdemeanorbondtype
11,2016,992,912,1904,misdemeanorbondtype
12,2014,925,310,1235,misdemeanorbondtype
12,2015,940,317,1257,misdemeanorbondtype
12,2016,884,369,1253,misdemeanorbondtype
13,2014,1494,463,1957,misdemeanorbondtype
13,2015,1480,615,2095,misdemeanorbondtype
13,2016,1458,598,2056,misdemeanorbondtype
14,2014,934,282,1216,misdemeanorbondtype
14,2015,862,352,1214,misdemeanorbondtype
14,2016,813,428,1241,misdemeanorbondtype
15,2014,860,87,947,misdemeanorbondtype
15,2015,877,71,948,misdemeanorbondtype
15,2016,854,52,906,misdemeanorbondtype
16,2014,717,230,947,misdemeanorbondtype
16,2015,536,308,844,misdemeanorbondtype
16,2016,360,385,745,misdemeanorbondtype
17,2014,9235,242,9477,misdemeanorbondtype
17,2015,9100,384,9484,misdemeanorbondtype
