"","firstofftype","mostseriousoffense","perc_preHB1236","n_preHB1236","perc_postHB1236","n_postHB1236"
"1","Felony","Traffic Misdemeanor","24%","2,521","23%","3,025"
"2","Felony","Violation of a Protection Order","15%","1,574","13%","1,738"
"3","Felony","Other Custody Violations","7%","743","10%","1,326"
"4","Felony","Drug Possession","8%","794","8%","1,127"
"5","Felony","Theft","8%","826","6%","825"
"6","Felony","Misdemeanor Assault","7%","691","5%","731"
"7","Felony","Drugs","4%","413","5%","616"
"8","Felony","Other Property","4%","437","4%","541"
"9","Felony","Burglary","4%","407","4%","518"
"10","Felony","Felony Assault","3%","352","4%","535"
"11","Felony","Forgery/Fraud","3%","340","4%","529"
"12","Felony","Miscellaneous Misdemeanor","3%","348","3%","396"
"13","Felony","Miscellaneous Felony","2%","260","2%","332"
"14","Felony","MVT","2%","163","3%","417"
"15","Felony","Weapons","1%","123","1%","162"
"16","Felony","Robbery","1%","96","1%","126"
"17","Felony","Traffic Felony","1%","97","1%","119"
"18","Felony","SO Failure to Register","1%","92","1%","109"
"19","Felony","Escape","1%","78","1%","95"
"20","Felony","Kidnap","0%","46","0%","47"
"21","Felony","Homicide","0%","44","0%","44"
"22","Felony","Other Sex Crime","0%","17","0%","27"
"23","Felony","Sex Assault","0%","16","0%","17"
"24","Felony","Arson","0%","17","0%","11"
"25","Felony","Total","100%","10,495","100%","13,413"
"26","Misdemeanor","Traffic Misdemeanor","33%","5,572","32%","6,372"
"27","Misdemeanor","Violation of a Protection Order","29%","4,879","30%","5,913"
"28","Misdemeanor","Misdemeanor Assault","8%","1,379","7%","1,446"
"29","Misdemeanor","Drug Possession","4%","676","4%","897"
"30","Misdemeanor","Theft","4%","678","4%","741"
"31","Misdemeanor","Miscellaneous Misdemeanor","4%","667","3%","664"
"32","Misdemeanor","Other Property","3%","577","3%","612"
"33","Misdemeanor","Other Custody Violations","3%","538","3%","612"
"34","Misdemeanor","Felony Assault","3%","503","3%","628"
"35","Misdemeanor","Burglary","2%","311","2%","408"
"36","Misdemeanor","Forgery/Fraud","1%","246","2%","309"
"37","Misdemeanor","Miscellaneous Felony","1%","211","1%","262"
"38","Misdemeanor","Drugs","1%","210","1%","251"
"39","Misdemeanor","MVT","1%","95","1%","198"
"40","Misdemeanor","Weapons","1%","128","1%","155"
"41","Misdemeanor","Traffic Felony","1%","98","1%","116"
"42","Misdemeanor","Robbery","0%","75","0%","70"
"43","Misdemeanor","SO Failure to Register","0%","61","0%","65"
"44","Misdemeanor","Escape","0%","52","0%","65"
"45","Misdemeanor","Kidnap","0%","41","0%","54"
"46","Misdemeanor","Other Sex Crime","0%","32","0%","50"
"47","Misdemeanor","Homicide","0%","40","0%","36"
"48","Misdemeanor","Sex Assault","0%","35","0%","26"
"49","Misdemeanor","Arson","0%","9","0%","12"
"50","Misdemeanor","Other Homicide","0%","4","0%","4"
"51","Misdemeanor","Total","100%","17,117","100%","19,966"
