"","bondsettype","county","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"1","Felony","Adams","2014","1,846","1,467","379","221","195","26","2,067"
"2","Felony","Adams","2015","1,916","1,517","399","345","286","59","2,261"
"3","Felony","Adams","2016","1,835","1,444","391","720","619","101","2,555"
"4","Felony","Alamosa","2014","108","84","24","82","67","15","190"
"5","Felony","Alamosa","2015","138","99","39","85","68","17","223"
"6","Felony","Alamosa","2016","165","122","43","214","167","47","379"
"7","Felony","Arapahoe","2014","1,501","1,206","295","356","302","54","1,857"
"8","Felony","Arapahoe","2015","1,504","1,226","278","668","565","103","2,172"
"9","Felony","Arapahoe","2016","1,692","1,432","260","507","443","64","2,199"
"10","Felony","Archuleta","2014","30","22","8","42","33","9","72"
"11","Felony","Archuleta","2015","31","22","9","36","28","8","67"
"12","Felony","Archuleta","2016","32","21","11","47","27","20","79"
"13","Felony","Baca","2014","17","13","4","3","3",NA,"20"
"14","Felony","Baca","2015","13","8","5","10","10",NA,"23"
"15","Felony","Baca","2016","10","9","1","6","4","2","16"
"16","Felony","Bent","2014","28","17","11","15","10","5","43"
"17","Felony","Bent","2015","24","16","8","16","13","3","40"
"18","Felony","Bent","2016","35","25","10","12","6","6","47"
"19","Felony","Boulder","2014","842","715","127","235","217","18","1,077"
"20","Felony","Boulder","2015","904","756","148","308","282","26","1,212"
"21","Felony","Boulder","2016","898","763","135","550","496","54","1,448"
"22","Felony","Broomfield","2014","199","167","32","11","10","1","210"
"23","Felony","Broomfield","2015","173","141","32","18","17","1","191"
"24","Felony","Broomfield","2016","170","140","30","69","61","8","239"
"25","Felony","Chaffee","2014","67","58","9","25","24","1","92"
"26","Felony","Chaffee","2015","60","50","10","36","29","7","96"
"27","Felony","Chaffee","2016","56","42","14","57","44","13","113"
"28","Felony","Cheyenne","2014","5","4","1","2","2",NA,"7"
"29","Felony","Cheyenne","2015","7","7",NA,"1","1",NA,"8"
"30","Felony","Cheyenne","2016","10","7","3","1","1",NA,"11"
"31","Felony","Clear Creek","2014","55","48","7","3","3",NA,"58"
"32","Felony","Clear Creek","2015","41","33","8","4","2","2","45"
"33","Felony","Clear Creek","2016","51","45","6","5","4","1","56"
"34","Felony","Conejos","2014","16","12","4","13","11","2","29"
"35","Felony","Conejos","2015","38","28","10","19","13","6","57"
"36","Felony","Conejos","2016","50","32","18","26","22","4","76"
"37","Felony","Costilla","2014","26","20","6","6","5","1","32"
"38","Felony","Costilla","2015","34","29","5","7","7",NA,"41"
"39","Felony","Costilla","2016","23","22","1","14","14",NA,"37"
"40","Felony","Crowley","2014","17","13","4","4","2","2","21"
"41","Felony","Crowley","2015","20","16","4","21","18","3","41"
