"","bondsettype","district","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"1","Felony",1,"2014","1,480","1,235","245","464","414","50","1,944"
"2","Felony",1,"2015","1,723","1,439","284","481","433","48","2,204"
"3","Felony",1,"2016","1,815","1,575","240","591","518","73","2,406"
"4","Felony",2,"2014","1,936","1,632","304","1,313","1,186","127","3,249"
"5","Felony",2,"2015","2,069","1,751","318","1,446","1,291","155","3,515"
"6","Felony",2,"2016","1,902","1,621","281","2,619","2,286","333","4,521"
"7","Felony",3,"2014","119","89","30","99","79","20","218"
"8","Felony",3,"2015","122","94","28","85","61","24","207"
"9","Felony",3,"2016","129","101","28","86","58","28","215"
"10","Felony",4,"2014","2,944","2,315","629","375","334","41","3,319"
"11","Felony",4,"2015","2,901","2,373","528","377","342","35","3,278"
"12","Felony",4,"2016","3,177","2,659","518","357","325","32","3,534"
"13","Felony",5,"2014","438","385","53","61","54","7","499"
"14","Felony",5,"2015","493","426","67","56","48","8","549"
"15","Felony",5,"2016","497","441","56","56","45","11","553"
"16","Felony",6,"2014","173","113","60","227","168","59","400"
"17","Felony",6,"2015","205","161","44","235","178","57","440"
"18","Felony",6,"2016","255","209","46","213","169","44","468"
"19","Felony",7,"2014","333","237","96","94","73","21","427"
"20","Felony",7,"2015","339","241","98","111","86","25","450"
"21","Felony",7,"2016","387","257","130","136","113","23","523"
"22","Felony",8,"2014","768","612","156","440","389","51","1,208"
"23","Felony",8,"2015","942","736","206","468","413","55","1,410"
"24","Felony",8,"2016","1,168","910","258","588","524","64","1,756"
"25","Felony",9,"2014","259","188","71","119","86","33","378"
"26","Felony",9,"2015","329","238","91","130","93","37","459"
"27","Felony",9,"2016","344","252","92","184","157","27","528"
"28","Felony",10,"2014","588","453","135","481","420","61","1,069"
"29","Felony",10,"2015","637","502","135","790","688","102","1,427"
"30","Felony",10,"2016","644","541","103","651","586","65","1,295"
"31","Felony",11,"2014","289","242","47","86","77","9","375"
"32","Felony",11,"2015","269","224","45","151","130","21","420"
"33","Felony",11,"2016","267","216","51","300","247","53","567"
"34","Felony",12,"2014","229","174","55","189","150","39","418"
"35","Felony",12,"2015","275","197","78","192","153","39","467"
"36","Felony",12,"2016","346","249","97","321","251","70","667"
"37","Felony",13,"2014","270","195","75","134","108","26","404"
"38","Felony",13,"2015","300","220","80","182","147","35","482"
"39","Felony",13,"2016","308","242","66","229","182","47","537"
"40","Felony",14,"2014","189","141","48","65","54","11","254"
"41","Felony",14,"2015","222","166","56","135","114","21","357"
"42","Felony",14,"2016","169","126","43","143","121","22","312"
"43","Felony",15,"2014","104","84","20","54","42","12","158"
"44","Felony",15,"2015","137","100","37","60","50","10","197"
"45","Felony",15,"2016","122","104","18","60","52","8","182"
"46","Felony",16,"2014","144","106","38","83","57","26","227"
"47","Felony",16,"2015","180","120","60","88","66","22","268"
"48","Felony",16,"2016","184","137","47","86","59","27","270"
"49","Felony",17,"2014","2,045","1,634","411","232","205","27","2,277"
"50","Felony",17,"2015","2,089","1,658","431","363","303","60","2,452"
"51","Felony",17,"2016","2,005","1,584","421","789","680","109","2,794"
"52","Felony",18,"2014","1,901","1,547","354","480","414","66","2,381"
"53","Felony",18,"2015","1,932","1,588","344","885","755","130","2,817"
"54","Felony",18,"2016","2,276","1,937","339","820","719","101","3,096"
"55","Felony",19,"2014","824","659","165","483","391","92","1,307"
"56","Felony",19,"2015","789","601","188","609","536","73","1,398"
"57","Felony",19,"2016","877","679","198","655","533","122","1,532"
"58","Felony",20,"2014","842","715","127","235","217","18","1,077"
"59","Felony",20,"2015","904","756","148","308","282","26","1,212"
"60","Felony",20,"2016","898","763","135","550","496","54","1,448"
"61","Felony",21,"2014","363","277","86","721","585","136","1,084"
"62","Felony",21,"2015","288","230","58","824","671","153","1,112"
"63","Felony",21,"2016","314","252","62","1,043","849","194","1,357"
"64","Felony",22,"2014","89","75","14","72","58","14","161"
