,2014,,2015,,2016,
County by Bond Post Type,%,N,%,N,%,N
by New Filing,,,,,,
Adams,9%,"2,067",9%,"2,261",9%,"2,555"
Cash/Surety/Property,89%,"1,846",85%,"1,916",72%,"1,835"
No,79%,"1,467",79%,"1,517",79%,"1,444"
Yes,21%,379,21%,399,21%,391
Personal Recognizance,11%,221,15%,345,28%,720
No,88%,195,83%,286,86%,619
Yes,12%,26,17%,59,14%,101
Alamosa,1%,190,1%,223,1%,379
Cash/Surety/Property,57%,108,62%,138,44%,165
No,78%,84,72%,99,74%,122
Yes,22%,24,28%,39,26%,43
Personal Recognizance,43%,82,38%,85,56%,214
No,82%,67,80%,68,78%,167
Yes,18%,15,20%,17,22%,47
Arapahoe,8%,"1,857",9%,"2,172",8%,"2,199"
Cash/Surety/Property,81%,"1,501",69%,"1,504",77%,"1,692"
No,80%,"1,206",82%,"1,226",85%,"1,432"
Yes,20%,295,18%,278,15%,260
Personal Recognizance,19%,356,31%,668,23%,507
No,85%,302,85%,565,87%,443
Yes,15%,54,15%,103,13%,64
Archuleta,<1%,72,<1%,67,<1%,79
Cash/Surety/Property,42%,30,46%,31,41%,32
No,73%,22,71%,22,66%,21
Yes,27%,8,29%,9,34%,11
Personal Recognizance,58%,42,54%,36,59%,47
No,79%,33,78%,28,57%,27
Yes,21%,9,22%,8,43%,20
Baca,<1%,20,<1%,23,<1%,16
Cash/Surety/Property,85%,17,57%,13,63%,10
No,76%,13,62%,8,90%,9
Yes,24%,4,38%,5,10%,1
Personal Recognizance,15%,3,43%,10,38%,6
No,100%,3,100%,10,67%,4
Yes,0%,,0%,,33%,2
Bent,<1%,43,<1%,40,<1%,47
Cash/Surety/Property,65%,28,60%,24,74%,35
No,61%,17,67%,16,71%,25
Yes,39%,11,33%,8,29%,10
Personal Recognizance,35%,15,40%,16,26%,12
No,67%,10,81%,13,50%,6
Yes,33%,5,19%,3,50%,6
Boulder,5%,"1,077",5%,"1,212",5%,"1,448"
Cash/Surety/Property,78%,842,75%,904,62%,898
No,85%,715,84%,756,85%,763
Yes,15%,127,16%,148,15%,135
Personal Recognizance,22%,235,25%,308,38%,550
No,92%,217,92%,282,90%,496
Yes,8%,18,8%,26,10%,54
Broomfield,1%,210,1%,191,1%,239
Cash/Surety/Property,95%,199,91%,173,71%,170
No,84%,167,82%,141,82%,140
Yes,16%,32,18%,32,18%,30
Personal Recognizance,5%,11,9%,18,29%,69
No,91%,10,94%,17,88%,61
Yes,9%,1,6%,1,12%,8
Chaffee,<1%,92,<1%,96,<1%,113
Cash/Surety/Property,73%,67,63%,60,50%,56
No,87%,58,83%,50,75%,42
