,2014,,2015,,2016,
District by bond post type,%,N,%,N,%,N
by new filing,,,,,,
1,7%,"3,525",7%,"3,751",8%,"3,684"
Cash/Surety/Property,75%,"2,646",71%,"2,677",68%,"2,516"
No,88%,"2,333",87%,"2,331",89%,"2,231"
Yes,12%,313,13%,346,11%,285
Personal Recognizance,25%,879,29%,"1,074",32%,"1,168"
No,91%,801,91%,975,91%,"1,066"
Yes,9%,78,9%,99,9%,102
3,1%,729,1%,619,1%,589
Cash/Surety/Property,78%,572,81%,499,83%,488
No,84%,479,84%,418,85%,414
Yes,16%,93,16%,81,15%,74
Personal Recognizance,22%,157,19%,120,17%,101
No,70%,110,77%,92,75%,76
Yes,30%,47,23%,28,25%,25
4,11%,"5,230",10%,"5,269",10%,"4,691"
Cash/Surety/Property,75%,"3,927",77%,"4,061",74%,"3,490"
No,88%,"3,452",88%,"3,564",88%,"3,085"
Yes,12%,475,12%,497,12%,405
Personal Recognizance,25%,"1,303",23%,"1,208",26%,"1,201"
No,93%,"1,213",94%,"1,130",94%,"1,130"
Yes,7%,90,6%,78,6%,71
5,4%,"1,711",4%,"1,968",4%,"1,786"
Cash/Surety/Property,78%,"1,331",79%,"1,556",80%,"1,427"
No,88%,"1,171",87%,"1,347",87%,"1,244"
Yes,12%,160,13%,209,13%,183
Personal Recognizance,22%,380,21%,412,20%,359
No,86%,328,88%,362,84%,303
Yes,14%,52,12%,50,16%,56
6,2%,"1,088",3%,"1,268",3%,"1,312"
Cash/Surety/Property,54%,588,53%,667,57%,753
No,87%,509,86%,574,87%,653
Yes,13%,79,14%,93,13%,100
Personal Recognizance,46%,500,47%,601,43%,559
No,81%,404,80%,480,83%,465
Yes,19%,96,20%,121,17%,94
7,3%,"1,636",3%,"1,593",4%,"1,730"
Cash/Surety/Property,76%,"1,243",74%,"1,177",69%,"1,198"
No,81%,"1,009",84%,988,85%,"1,018"
Yes,19%,234,16%,189,15%,180
Personal Recognizance,24%,393,26%,416,31%,532
No,86%,337,82%,343,82%,435
Yes,14%,56,18%,73,18%,97
8,9%,"4,359",9%,"4,382",9%,"4,228"
Cash/Surety/Property,31%,"1,361",33%,"1,467",33%,"1,398"
No,81%,"1,100",81%,"1,188",81%,"1,136"
Yes,19%,261,19%,279,19%,262
Personal Recognizance,69%,"2,998",67%,"2,915",67%,"2,830"
No,91%,"2,714",89%,"2,587",90%,"2,544"
Yes,9%,284,11%,328,10%,286
9,3%,"1,269",2%,"1,259",2%,"1,182"
Cash/Surety/Property,70%,887,70%,883,65%,768
No,82%,729,82%,726,85%,655
Yes,18%,158,18%,157,15%,113
Personal Recognizance,30%,382,30%,376,35%,414
No,80%,304,88%,330,84%,346
Yes,20%,78,12%,46,16%,68
10,5%,"2,322",5%,"2,490",5%,"2,333"
Cash/Surety/Property,64%,"1,496",48%,"1,183",35%,827
No,90%,"1,340",86%,"1,021",87%,719
Yes,10%,156,14%,162,13%,108
Personal Recognizance,36%,826,52%,"1,307",65%,"1,506"
