,2014,,2015,,2016,
County by bond post type by new filing,%,N,%,N,%,N
Adams,12%,"5,655",11%,"5,612",10%,"4,979"
Cash/Surety/Property,95%,"5,369",93%,"5,243",74%,"3,672"
No,87%,"4,650",86%,"4,512",86%,"3,149"
Yes,13%,719,14%,731,14%,523
Personal Recognizance,5%,286,7%,369,26%,"1,307"
No,87%,250,91%,335,85%,"1,113"
Yes,13%,36,9%,34,15%,194
Alamosa,1%,298,1%,334,1%,344
Cash/Surety/Property,63%,188,66%,219,48%,166
No,82%,154,70%,154,81%,135
Yes,18%,34,30%,65,19%,31
Personal Recognizance,37%,110,34%,115,52%,178
No,80%,88,73%,84,79%,141
Yes,20%,22,27%,31,21%,37
Arapahoe,10%,"4,680",9%,"4,646",8%,"3,682"
Cash/Surety/Property,55%,"2,589",50%,"2,329",57%,"2,099"
No,84%,"2,184",85%,"1,976",89%,"1,876"
Yes,16%,405,15%,353,11%,223
Personal Recognizance,45%,"2,091",50%,"2,317",43%,"1,583"
No,87%,"1,820",88%,"2,049",90%,"1,421"
Yes,13%,271,12%,268,10%,162
Archuleta,1%,254,<1%,207,1%,255
Cash/Surety/Property,53%,135,55%,114,50%,128
No,87%,118,83%,95,77%,99
Yes,13%,17,17%,19,23%,29
Personal Recognizance,47%,119,45%,93,50%,127
No,84%,100,76%,71,76%,97
Yes,16%,19,24%,22,24%,30
Baca,<1%,65,<1%,58,<1%,62
Cash/Surety/Property,85%,55,88%,51,87%,54
No,93%,51,84%,43,85%,46
Yes,7%,4,16%,8,15%,8
Personal Recognizance,15%,10,12%,7,13%,8
No,100%,10,86%,6,100%,8
Yes,0%,,14%,1,0%,
Bent,<1%,200,<1%,120,<1%,129
Cash/Surety/Property,76%,151,62%,74,54%,70
No,75%,114,81%,60,76%,53
Yes,25%,37,19%,14,24%,17
Personal Recognizance,25%,49,38%,46,46%,59
No,73%,36,87%,40,71%,42
Yes,27%,13,13%,6,29%,17
Boulder,4%,"2,034",4%,"1,976",4%,"2,113"
Cash/Surety/Property,71%,"1,444",67%,"1,331",60%,"1,265"
No,87%,"1,256",86%,"1,149",86%,"1,086"
Yes,13%,188,14%,182,14%,179
Personal Recognizance,29%,590,33%,645,40%,848
No,92%,543,92%,593,89%,758
Yes,8%,47,8%,52,11%,90
Broomfield,2%,991,2%,845,2%,782
Cash/Surety/Property,91%,905,91%,771,66%,518
No,92%,833,88%,679,87%,453
Yes,8%,72,12%,92,13%,65
Personal Recognizance,9%,86,9%,74,34%,264
No,90%,77,93%,69,88%,233
Yes,10%,9,7%,5,12%,31
Chaffee,1%,299,1%,333,1%,324
Cash/Surety/Property,66%,196,53%,175,46%,149
No,87%,171,87%,152,80%,119
Yes,13%,25,13%,23,20%,30
Personal Recognizance,34%,103,47%,158,54%,175
No,92%,95,86%,136,83%,146
Yes,8%,8,14%,22,17%,29
Cheyenne,<1%,27,<1%,25,<1%,39
Cash/Surety/Property,78%,21,96%,24,79%,31
No,90%,19,96%,23,87%,27
Yes,10%,2,4%,1,13%,4
Personal Recognizance,22%,6,4%,1,21%,8
No,83%,5,100%,1,75%,6
Yes,17%,1,0%,,25%,2
Clear Creek,<1%,239,1%,276,1%,262
Cash/Surety/Property,90%,215,89%,246,85%,224
No,88%,190,91%,224,87%,194
Yes,12%,25,9%,22,13%,30
Personal Recognizance,10%,24,11%,30,15%,38
No,79%,19,97%,29,76%,29
Yes,21%,5,3%,1,24%,9
Conejos,<1%,118,<1%,118,<1%,117
Cash/Surety/Property,72%,85,60%,71,66%,77
No,85%,72,83%,59,79%,61
Yes,15%,13,17%,12,21%,16
Personal Recognizance,28%,33,40%,47,34%,40
No,73%,24,89%,42,75%,30
Yes,27%,9,11%,5,25%,10
Costilla,<1%,92,<1%,106,<1%,73
Cash/Surety/Property,76%,70,81%,86,75%,55
No,87%,61,85%,73,89%,49
Yes,13%,9,15%,13,11%,6
Personal Recognizance,24%,22,19%,20,25%,18
No,86%,19,90%,18,94%,17
Yes,14%,3,10%,2,6%,1
Crowley,<1%,61,<1%,66,<1%,36
Cash/Surety/Property,66%,40,56%,37,61%,22
No,80%,32,78%,29,86%,19
Yes,20%,8,22%,8,14%,3
Personal Recognizance,34%,21,44%,29,39%,14
No,86%,18,76%,22,57%,8
Yes,14%,3,24%,7,43%,6
Custer,<1%,52,<1%,70,<1%,66
Cash/Surety/Property,73%,38,66%,46,55%,36
No,84%,32,87%,40,81%,29
Yes,16%,6,13%,6,19%,7
Personal Recognizance,27%,14,34%,24,45%,30
No,100%,14,88%,21,87%,26
Yes,0%,,13%,3,13%,4
Delta,1%,413,1%,443,1%,499
Cash/Surety/Property,69%,283,67%,297,57%,282
No,83%,234,86%,256,89%,252
Yes,17%,49,14%,41,11%,30
Personal Recognizance,31%,130,33%,146,43%,217
No,88%,115,85%,124,82%,179
Yes,12%,15,15%,22,18%,38
Dolores,<1%,26,<1%,20,<1%,20
Cash/Surety/Property,69%,18,60%,12,40%,8
No,83%,15,92%,11,88%,7
Yes,17%,3,8%,1,13%,1
Personal Recognizance,31%,8,40%,8,60%,12
No,100%,8,100%,8,92%,11
Yes,0%,,0%,,8%,1
Douglas,4%,"1,921",5%,"2,309",5%,"2,524"
Cash/Surety/Property,70%,"1,339",60%,"1,381",63%,"1,581"
No,90%,"1,199",91%,"1,260",91%,"1,444"
Yes,10%,140,9%,121,9%,137
Personal Recognizance,30%,582,40%,928,37%,943
No,91%,529,91%,840,89%,842
Yes,9%,53,9%,88,11%,101
Eagle,1%,585,1%,627,1%,649
Cash/Surety/Property,62%,362,67%,419,74%,483
No,88%,317,86%,359,86%,417
Yes,12%,45,14%,60,14%,66
Personal Recognizance,38%,223,33%,208,26%,166
No,88%,197,90%,188,89%,147
Yes,12%,26,10%,20,11%,19
El Paso,10%,"4,697",10%,"4,817",9%,"4,299"
Cash/Surety/Property,75%,"3,521",77%,"3,720",75%,"3,212"
No,88%,"3,085",88%,"3,262",88%,"2,841"
Yes,12%,436,12%,458,12%,371
Personal Recognizance,25%,"1,176",23%,"1,097",25%,"1,087"
No,93%,"1,099",94%,"1,030",94%,"1,020"
Yes,7%,77,6%,67,6%,67
Elbert,<1%,227,<1%,243,1%,270
Cash/Surety/Property,67%,152,67%,162,57%,154
No,90%,137,85%,137,90%,138
Yes,10%,15,15%,25,10%,16
Personal Recognizance,33%,75,33%,81,43%,116
No,88%,66,85%,69,82%,95
Yes,12%,9,15%,12,18%,21
Fremont,1%,493,1%,664,2%,784
Cash/Surety/Property,81%,399,67%,445,25%,198
